"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.alpha","log2fold_change","Auc"
"1958","TMEM91","hurdle",0.529946784618344,2.399292,2.905493,0.506201,0.513
"1714","SLC17A1","hurdle",0.0231858618006287,-2.754803,1.826833,4.581636,0.513
"1701","SIPA1L1","hurdle",0.324862864975046,4.97003,5.583534,0.613504,0.513
"1642","SBNO2","hurdle",0.60193879615495,2.616308,3.311859,0.695551,0.513
"1567","RAPGEFL1","hurdle",0.387681570836447,0.7367471,1.9306613,1.1939142,0.513
"1272","NIF3L1","hurdle",0.887879987319953,4.647653,5.164209,0.516556,0.513
"1166","MEP1B","hurdle",0.10627927009787,-0.4699542,1.9063986,2.3763528,0.513
"1081","LPO","hurdle",0.102907477061546,-0.8723881,1.8155236,2.6879117,0.513
"1064","LHFPL5","hurdle",0.113295544259045,-1.25123,1.500156,2.751386,0.513
"1008","KIAA1683","hurdle",0.179403161815749,-0.1475968,1.8542642,2.001861,0.513
"973","KCND1","hurdle",0.0799571303438924,1.172867,2.988045,1.815178,0.513
"940","IPPK","hurdle",0.453096051335202,3.157104,3.922355,0.765251,0.513
"919","IGFLR1","hurdle",0.213723519695626,-0.1274825,0.7877839,0.9152664,0.513
"910","IDI2","hurdle",0.367106240305798,0.4881592,1.1453307,0.6571715,0.513
"898","HSF2BP","hurdle",0.0511136982699802,-0.9876719,2.2093517,3.1970236,0.513
"762","GDPGP1","hurdle",0.275553995580622,1.209028,2.438509,1.229481,0.513
"680","FBLN7","hurdle",0.712439923170479,4.346432,4.896672,0.55024,0.513
"564","EDA","hurdle",0.267220345850079,1.358322,2.651892,1.29357,0.513
"561","E2F1","hurdle",0.0628156388686026,-1.242018,2.189729,3.431747,0.513
"486","CUTC","hurdle",0.0965024484733268,3.94642,4.605709,0.659289,0.513
"313","CCDC134","hurdle",0.437037380657162,2.063066,2.987858,0.924792,0.513
"272","C8B","hurdle",0.0217262754109488,-1.872041,1.820137,3.692178,0.513
"196","BEAN1","hurdle",0.0298322464272286,-2.741318,1.346113,4.087431,0.513
"75","AMIGO3","hurdle",0.373755244013261,1.029398,1.927813,0.898415,0.513
"72","AMDHD2","hurdle",0.0173394452289822,4.945576,5.577303,0.631727,0.513
"71","AMDHD1","hurdle",0.0532072745146473,-0.08410074,2.5521422,2.63624294,0.513
"56","AIFM3","hurdle",0.380296466041804,1.774419,2.316441,0.542022,0.513
"2166","ZNF582","hurdle",0.559049605529615,2.075436,3.519607,1.444171,0.512
"2145","ZNF440","hurdle",0.328129339720267,2.244964,2.957257,0.712293,0.512
"1993","TRPV3","hurdle",0.138647039609954,0.4459795,1.4125005,0.966521,0.512
"1893","TEKT2","hurdle",0.373463520263348,0.5775708,1.757198,1.1796272,0.512
"1635","S100Z","hurdle",0.500165648022877,1.219371,1.944028,0.724657,0.512
"1592","RHBDF2","hurdle",0.694856438454005,3.369447,3.895527,0.52608,0.512
"1577","RECK","hurdle",0.779501603019639,3.376051,3.919268,0.543217,0.512
"1231","MYOM1","hurdle",0.613578606003244,3.703881,4.888291,1.18441,0.512
"1162","MED26","hurdle",0.689854776799312,2.764376,3.366762,0.602386,0.512
"816","GPSM2","hurdle",0.456367670385893,1.206063,2.357231,1.151168,0.512
"811","GPR75","hurdle",0.500269314055191,1.261858,2.075162,0.813304,0.512
"803","GPR135","hurdle",0.614666741490726,1.881261,2.481033,0.599772,0.512
"791","GOLGA6L4","hurdle",0.149041634479147,0.1070054,0.9849517,0.8779463,0.512
"691","FCGR2A","hurdle",0.422568269477475,1.42593,2.30277,0.87684,0.512
"639","FAM163A","hurdle",0.260680193020576,0.7185495,1.2956961,0.5771466,0.512
"504","DCLK2","hurdle",0.654024473913415,2.172422,2.860627,0.688205,0.512
"468","CRHBP","hurdle",0.0506122694817324,0.7387509,1.3712918,0.6325409,0.512
"389","CFC1B","hurdle",0.178555132571201,-0.2905294,2.0483033,2.3388327,0.512
"381","CEP250","hurdle",0.286786287562894,3.144113,3.886587,0.742474,0.512
"353","CDCA3","hurdle",0.301548894657995,1.057191,2.632021,1.57483,0.512
"312","CCDC13","hurdle",0.152992629603533,-1.2963174,-0.1177143,1.1786031,0.512
"268","C6orf99","hurdle",0.178490047285745,-1.5821456,0.5166668,2.0988124,0.512
"211","BTBD16","hurdle",0.169720076580236,-0.8231691,1.1246718,1.9478409,0.512
"120","ARHGDIG","hurdle",0.521488645043098,2.076549,2.965294,0.888745,0.512
"90","AOC2","hurdle",0.0986411563623724,-0.4485442,1.3444591,1.7930033,0.512
"68","ALOX15","hurdle",0.124028232568923,-2.746782,-2.135376,0.611406,0.512
"1903","THBS3","hurdle",0.250184880623207,3.256833,4.288134,1.031301,0.511
"1836","STAG3","hurdle",0.447009295641753,-0.7829855,1.0748111,1.8577966,0.511
"1795","SOX7","hurdle",0.0962316625245249,-0.3791204,0.3085252,0.6876456,0.511
"1515","PTBP2","hurdle",0.701117518949222,3.691541,4.237908,0.546367,0.511
"1394","PGAM2","hurdle",0.224266496406835,1.08201,2.674831,1.592821,0.511
"1172","MFSD2A","hurdle",0.438113341245744,0.955424,1.949321,0.993897,0.511
"1159","MCOLN1","hurdle",0.314144731712009,5.764152,6.508706,0.744554,0.511
"1108","LYPD5","hurdle",0.22463415522502,-0.1783228,2.0007259,2.1790487,0.511
"1047","LARS2","hurdle",0.798197562130915,3.209883,4.066496,0.856613,0.511
"1033","KLKB1","hurdle",0.517109346799216,2.841265,4.241404,1.400139,0.511
"1031","KLHL35","hurdle",0.470351917112115,1.890581,2.491234,0.600653,0.511
"1000","KIAA0556","hurdle",0.201528110288459,3.317988,4.015711,0.697722999999999,0.511
"927","IL18R1","hurdle",0.139517960834333,-1.138981,3.002272,4.141253,0.511
"732","FSIP1","hurdle",0.747123847394064,0.7445576,1.8489778,1.1044202,0.511
"291","CAD","hurdle",0.841739813841639,4.000761,4.620966,0.620205,0.511
"143","ASB7","hurdle",0.808908279349881,3.241106,3.803865,0.562759,0.511
"124","ARHGEF4","hurdle",0.509424364549353,2.846482,3.483261,0.636779,0.511
"84","ANKRD44","hurdle",0.1032129971904,3.476429,4.14749,0.671061,0.511
"2155","ZNF529","hurdle",0.20395070459993,4.011176,4.549432,0.538256000000001,0.51
"2146","ZNF441","hurdle",0.16912415926914,3.899209,4.675152,0.775943,0.51
"2143","ZNF419","hurdle",0.585996053792356,2.907322,3.510713,0.603391,0.51
"2107","ZBTB48","hurdle",0.855218727528253,3.785254,4.310493,0.525239,0.51
"2085","WDR63","hurdle",0.0967356983556942,0.3529015,0.9335104,0.5806089,0.51
"2028","TYW5","hurdle",0.0975306616337645,3.889775,4.527226,0.637451,0.51
"1900","TFR2","hurdle",0.330940077727445,0.440535,1.189936,0.749401,0.51
"1718","SLC22A16","hurdle",0.0098872889170201,-3.321928,2.494457,5.816385,0.51
"1708","SLC13A5","hurdle",0.239756708270386,-0.5636644,0.4984227,1.0620871,0.51
"1602","RNF111","hurdle",0.084233159349309,4.354415,4.875543,0.521128,0.51
"1551","RAB3IL1","hurdle",0.675035972942669,1.653105,2.50292,0.849815,0.51
"1504","PRR19","hurdle",0.174503882969303,0.2161619,0.805205,0.5890431,0.51
"1498","PRMT8","hurdle",0.0098872889170201,-3.321928,1.340635,4.662563,0.51
"1477","PPP2R2D","hurdle",0.141588670934856,4.271265,4.816778,0.545513000000001,0.51
"1468","PPP1R32","hurdle",0.516143076538508,1.045919,1.91703,0.871111,0.51
"1436","PLK4","hurdle",0.169998864006897,-0.04346593,1.13240621,1.17587214,0.51
"1357","PCDHB5","hurdle",0.268979772611084,3.130965,4.025114,0.894149,0.51
"1296","NPR1","hurdle",0.104372769814684,0.04996084,2.74024858,2.69028774,0.51
"1269","NHLRC1","hurdle",0.517402897639567,1.659472,2.177563,0.518091,0.51
"1228","MYO18B","hurdle",0.00988728891702008,-3.321928,1.586586,4.908514,0.51
"1194","MROH7","hurdle",0.323496592655442,-0.70180149,0.02276719,0.72456868,0.51
"1168","MESTIT1","hurdle",0.141669149601075,0.8442068,1.9278701,1.0836633,0.51
"1165","MEIS3","hurdle",0.0351157926456051,3.349987,4.289428,0.939441,0.51
"1101","LRRTM4","hurdle",0.674910517218388,1.93562,2.632262,0.696642,0.51
"992","KCTD19","hurdle",0.345545312419437,0.05525178,2.02613546,1.97088368,0.51
"939","INSM2","hurdle",0.00988728891702008,-3.321928,1.53931,4.861238,0.51
"862","HIC2","hurdle",0.192892413759276,2.498865,3.38241,0.883545,0.51
"748","GALNTL6","hurdle",0.00988728891702,-3.321928,1.571672,4.8936,0.51
"656","FAM228A","hurdle",0.0945442995082813,0.4274333,1.2781236,0.8506903,0.51
"618","F2","hurdle",0.00988728891702011,-3.3219281,0.4449537,3.7668818,0.51
"594","EPHX3","hurdle",0.336165057027739,0.2160098,1.2547384,1.0387286,0.51
"570","EFCAB7","hurdle",0.712343939277848,2.698258,3.436153,0.737895,0.51
"326","CCK","hurdle",0.00988728891702008,-3.3219281,0.6541219,3.97605,0.51
"282","CA8","hurdle",0.355640560973013,4.183452,4.913125,0.729673,0.51
"240","C1orf162","hurdle",0.344734623657542,-0.2078475,1.0251915,1.233039,0.51
"235","C19orf45","hurdle",0.326126043530312,-0.01789812,1.83370068,1.8515988,0.51
"2121","ZHX3","hurdle",0.223313787300264,4.467025,5.012325,0.5453,0.509
"2118","ZFP82","hurdle",0.427000512972068,3.260084,4.073403,0.813319,0.509
"2098","XKR4","hurdle",0.776128413126005,2.724617,3.392004,0.667387,0.509
"2083","WDR37","hurdle",0.61329696153549,4.516246,5.029567,0.513321,0.509
"1961","TMPRSS12","hurdle",0.0419979963625481,-1.972495,-1.256402,0.716093,0.509
"1883","TCFL5","hurdle",0.567802254449545,1.817588,2.919935,1.102347,0.509
"1499","PROC","hurdle",0.729849810819218,2.370872,3.049132,0.67826,0.509
"1416","PKD2L2","hurdle",0.199974059596399,-1.500881,1.924813,3.425694,0.509
"1074","LMBRD2","hurdle",0.750958634985939,4.167743,4.680844,0.513101,0.509
"1029","KLHL29","hurdle",0.667372078335857,1.632458,2.296253,0.663795,0.509
"998","KIAA0391","hurdle",0.772132770821374,4.044665,4.545568,0.500903,0.509
"982","KCNK10","hurdle",0.294186830057225,1.073109,2.412822,1.339713,0.509
"849","HCN4","hurdle",0.182022013512619,1.069864,2.732728,1.662864,0.509
"844","HAR1A","hurdle",0.0419979963625478,-3.2308258,-0.4197029,2.8111229,0.509
"649","FAM189A1","hurdle",0.398657373051732,1.582058,2.518041,0.935983,0.509
"421","CLPSL2","hurdle",0.526833945987831,1.495255,2.51515,1.019895,0.509
"249","C20orf195","hurdle",0.0419979963625478,-1.5432626,-0.6357813,0.9074813,0.509
"108","AQP10","hurdle",0.0419979963625486,-1.281161,1.794388,3.075549,0.509
"88","ANO9","hurdle",0.769618014935529,2.698843,3.250554,0.551711,0.509
"22","ACER2","hurdle",0.00280356178144112,-1.477967,1.568961,3.046928,0.509
"2153","ZNF514","hurdle",0.835528290822549,2.753285,3.844326,1.091041,0.508
"2012","TTLL11","hurdle",0.654278405281821,0.5518912,1.5076125,0.9557213,0.508
"1974","TPH1","hurdle",0.298236559947209,0.7411401,2.3888086,1.6476685,0.508
"1965","TNFRSF10C","hurdle",0.194728055059991,0.2794532,2.3278624,2.0484092,0.508
"1960","TMPPE","hurdle",0.524369110466727,-0.3697707,0.9335207,1.3032914,0.508
"1891","TDRD9","hurdle",0.792961958750437,2.27424,2.796393,0.522153,0.508
"1848","STOML1","hurdle",0.0695843170310759,4.022922,5.079185,1.056263,0.508
"1786","SNX11","hurdle",0.102215264825991,4.620946,5.258997,0.638051,0.508
"1768","SLC9C1","hurdle",0.137905382869464,1.927134,2.669694,0.74256,0.508
"1639","SAMD4A","hurdle",0.408218849424752,3.009913,3.878412,0.868499,0.508
"1546","RAB38","hurdle",0.448320348293477,0.9614345,2.1462506,1.1848161,0.508
"1493","PRKCQ","hurdle",0.429374371016509,0.9555014,2.1051615,1.1496601,0.508
"1474","PPP1R42","hurdle",0.242255019026494,-1.619084,0.9143209,2.5334049,0.508
"1458","PPARG","hurdle",0.526041302086464,0.2422726,1.325795,1.0835224,0.508
"1456","POU2F2","hurdle",0.363184365108798,0.1347477,0.9016517,0.766904,0.508
"1414","PIWIL1","hurdle",0.243722657726429,-0.6164188,1.8731737,2.4895925,0.508
"1352","PCDHAC2","hurdle",0.558273984092331,0.8692268,1.9295238,1.060297,0.508
"1331","PALM2","hurdle",0.519889298391444,2.786348,3.314201,0.527853,0.508
"1316","OPLAH","hurdle",0.501881935098829,2.622135,3.130728,0.508593,0.508
"1133","MAPK4","hurdle",0.640781371116331,1.893972,3.108081,1.214109,0.508
"1097","LRRC69","hurdle",0.483403789417628,0.6110929,1.6018152,0.9907223,0.508
"1077","LMNB1","hurdle",0.516126474836741,0.3333589,1.4634263,1.1300674,0.508
"1054","LDLRAD1","hurdle",0.520459375483597,0.4506661,1.5056548,1.0549887,0.508
"1043","LAMB4","hurdle",0.226024234061252,-0.4365637,1.6658739,2.1024376,0.508
"1040","KY","hurdle",0.186059653114916,-1.8612872,0.8975406,2.7588278,0.508
"1023","KLHDC7A","hurdle",0.452670171634976,0.7117401,1.3094944,0.5977543,0.508
"989","KCNT1","hurdle",0.17225444707929,-0.4196032,2.5539254,2.9735286,0.508
"983","KCNK12","hurdle",0.775985699599916,2.276689,2.924192,0.647503,0.508
"964","JPH3","hurdle",0.72716178276771,2.479436,3.032278,0.552842,0.508
"945","IRF2BP1","hurdle",0.890760887609043,3.911771,4.462242,0.550471,0.508
"890","HS3ST4","hurdle",0.115514252966645,-1.54938,1.713171,3.262551,0.508
"809","GPR4","hurdle",0.0919075590164318,-2.405674,1.22067,3.626344,0.508
"754","GCDH","hurdle",0.061091173443658,4.195839,4.976476,0.780637,0.508
"499","DBF4B","hurdle",0.223399939078644,0.9003444,2.4005123,1.5001679,0.508
"444","COLQ","hurdle",0.582608355356155,0.03938841,1.29705602,1.25766761,0.508
"436","CNTN5","hurdle",0.769219326244941,1.975651,2.704967,0.729316,0.508
"336","CD164L2","hurdle",0.11655667744715,-0.8365559,0.3661356,1.2026915,0.508
"307","CATSPERG","hurdle",0.265798709367068,0.5402008,1.0861763,0.5459755,0.508
"304","CAPN9","hurdle",0.21710255692765,-1.47693,1.236528,2.713458,0.508
"243","C1orf21","hurdle",0.251650239965239,4.660845,5.275622,0.614777,0.508
"239","C1orf158","hurdle",0.155692626050963,-1.88451,1.247593,3.132103,0.508
"212","BTBD17","hurdle",0.625254026746797,1.208501,2.293805,1.085304,0.508
"129","ARMC12","hurdle",0.245131778452069,-1.053768,1.814499,2.868267,0.508
"51","AGER","hurdle",0.656113409378985,1.23502,1.867747,0.632727,0.508
"27","ACOT2","hurdle",0.214089461370281,3.62613,4.142116,0.515986,0.508
"2186","ZNF724P","hurdle",0.36267105932446,-1.986243,-0.1678061,1.8184369,0.507
"2160","ZNF565","hurdle",0.492092927496142,2.370238,3.331919,0.961681,0.507
"2117","ZFP57","hurdle",0.60249879782356,0.6276439,1.580181,0.9525371,0.507
"2074","VWA2","hurdle",0.340588825920269,1.992778,2.80402,0.811242,0.507
"1899","TF","hurdle",0.148585295225634,-0.5815225,0.2292733,0.8107958,0.507
"1880","TBX6","hurdle",0.598455244632752,0.925797,1.806736,0.880939,0.507
"1528","PTPRZ1","hurdle",0.470033375508418,0.09494844,1.14484551,1.04989707,0.507
"1500","PRODH2","hurdle",0.202316683613313,-0.2505321,0.4334094,0.6839415,0.507
"1471","PPP1R3D","hurdle",0.278326913776782,2.812891,3.43106,0.618169,0.507
"1446","POLR1E","hurdle",0.773768637248005,3.613412,4.123846,0.510434,0.507
"1280","NKX2-3","hurdle",0.397814264850593,-0.4501752,0.6282152,1.0783904,0.507
"1275","NIPSNAP3B","hurdle",0.795333692256213,1.841828,2.541093,0.699265,0.507
"1188","MON1A","hurdle",0.234340277733946,3.835887,4.372009,0.536122,0.507
"1171","METTL21B","hurdle",0.459417845346215,3.306934,3.82634,0.519406,0.507
"1079","LOH12CR2","hurdle",0.624396762050837,2.690576,3.328756,0.63818,0.507
"1035","KMO","hurdle",0.375398710844183,-1.197982,-0.5193992,0.6785828,0.507
"1034","KLRF1","hurdle",0.374877903737721,-0.7623393,0.3587505,1.1210898,0.507
"1025","KLHL13","hurdle",0.807417770464706,1.966282,2.7554,0.789118,0.507
"969","KCNAB3","hurdle",0.375029569762764,-1.7508629,-0.3321044,1.4187585,0.507
"928","IL1R2","hurdle",0.294795573832509,-0.2879492,1.9247961,2.2127453,0.507
"882","HPDL","hurdle",0.276184611106224,-0.82152592,0.06255358,0.8840795,0.507
"771","GLDC","hurdle",0.644627291098873,0.896224,1.778823,0.882599,0.507
"719","FNDC5","hurdle",0.504999455481638,0.4141131,1.1724721,0.758359,0.507
"710","FLJ21408","hurdle",0.463643457345527,0.8559618,1.6313763,0.7754145,0.507
"671","FAM90A1","hurdle",0.48830386760558,-1.757634,-0.344879,1.412755,0.507
"666","FAM71E1","hurdle",0.527680363694813,2.585118,3.116986,0.531868,0.507
"582","EME1","hurdle",0.142823631959818,-0.9465747,2.0398067,2.9863814,0.507
"540","DNAJC9","hurdle",0.37877428888076,4.261709,4.8301,0.568391,0.507
"531","DMGDH","hurdle",0.514943252925741,0.786394,1.69483,0.908436,0.507
"405","CHTF18","hurdle",0.355324068198077,1.218507,2.699238,1.480731,0.507
"366","CDT1","hurdle",0.779397269309706,1.595649,2.113284,0.517635,0.507
"358","CDK18","hurdle",0.425431403009035,2.223679,2.945225,0.721546,0.507
"355","CDH26","hurdle",0.288788500279126,-1.77333,-1.096148,0.677182,0.507
"288","CACNG1","hurdle",0.327364078005084,-1.6038522,-0.5046494,1.0992028,0.507
"236","C1orf101","hurdle",0.694727886208665,0.4253758,1.3367603,0.9113845,0.507
"232","C17orf53","hurdle",0.183746568236955,-0.5603356,0.1944108,0.7547464,0.507
"231","C17orf107","hurdle",0.768891716828431,1.13644,1.678515,0.542075,0.507
"230","C15orf59","hurdle",0.306511129905705,-0.3831066,1.8821961,2.2653027,0.507
"174","AURKC","hurdle",0.635165818466471,0.6721021,1.5587146,0.8866125,0.507
"79","ANGEL1","hurdle",0.137018434492091,4.818319,5.344313,0.525994,0.507
"1897","TEX22","hurdle",0.499936115126798,-0.7747925,1.0287581,1.8035506,0.506
"1887","TCTE3","hurdle",0.824333791795593,1.196771,2.088115,0.891344,0.506
"1656","SCRT1","hurdle",0.568921605992198,-0.05521569,1.24641862,1.30163431,0.506
"1572","RBM24","hurdle",0.441144555830411,-0.6573125,0.4715886,1.1289011,0.506
"1469","PPP1R35","hurdle",0.111426963509819,4.129316,4.982131,0.852815,0.506
"1393","PFN4","hurdle",0.549485853317455,-1.426568,-0.344879,1.081689,0.506
"1353","PCDHB10","hurdle",0.133720235343904,2.284079,3.523024,1.238945,0.506
"1340","PATL2","hurdle",0.768010685335559,0.1734836,0.8225332,0.6490496,0.506
"1311","NVL","hurdle",0.771776050580782,4.015688,4.5746,0.558912,0.506
"1262","NEURL1B","hurdle",0.557250371731115,1.591403,3.292314,1.700911,0.506
"1219","MYH7B","hurdle",0.0306928563838153,-1.818974,1.562437,3.381411,0.506
"1218","MYH3","hurdle",0.594556274769203,0.406134,1.297643,0.891509,0.506
"1104","LTC4S","hurdle",0.218823073171903,0.8982419,2.2623226,1.3640807,0.506
"1065","LHPP","hurdle",0.242759696966848,5.057782,5.617156,0.559374,0.506
"905","HSPB9","hurdle",0.761424100783812,0.8888909,1.5544795,0.6655886,0.506
"903","HSPA6","hurdle",0.36002505413839,-1.234671,2.986797,4.221468,0.506
"886","HPX","hurdle",0.498383855998386,1.480031,2.293989,0.813958,0.506
"770","GLB1L3","hurdle",0.607218086954479,-0.528876,1.987068,2.515944,0.506
"648","FAM186B","hurdle",0.356936007305116,-2.1534782,-0.5814361,1.5720421,0.506
"644","FAM175B","hurdle",0.384118701203453,3.948222,4.615667,0.667445,0.506
"629","FAM124A","hurdle",0.146818951959739,0.2827103,2.2970443,2.014334,0.506
"503","DCHS1","hurdle",0.76600053662476,1.670965,2.479218,0.808253,0.506
"463","CPNE7","hurdle",0.516969965291381,-0.3961935,1.3335128,1.7297063,0.506
"406","CITED1","hurdle",0.547604585066982,0.05541653,1.31266518,1.25724865,0.506
"166","ATP6V1G2","hurdle",0.277847758475129,1.192112,3.094418,1.902306,0.506
"60","AKAP3","hurdle",0.767695548637464,0.919954,1.732674,0.81272,0.506
"44","ADH6","hurdle",0.525347513488539,-0.09728998,1.15202769,1.24931767,0.506
"2164","ZNF578","hurdle",0.902515070284506,1.087006,2.258975,1.171969,0.505
"2157","ZNF544","hurdle",0.224185207141476,3.748135,4.770643,1.022508,0.505
"2139","ZNF367","hurdle",0.324610701833195,-0.07421225,1.9366136,2.01082585,0.505
"2136","ZNF296","hurdle",0.857375274792478,1.318219,1.89271,0.574491,0.505
"2125","ZNF101","hurdle",0.670962914135441,1.68423,2.378909,0.694679,0.505
"2101","YBX2","hurdle",0.0882151976669857,-3.3219281,-0.9442606,2.3776675,0.505
"1888","TDP1","hurdle",0.658660099597176,2.883262,3.4445,0.561238,0.505
"1770","SLITRK5","hurdle",0.0882151976669852,-3.3219281,0.1500564,3.4719845,0.505
"1769","SLITRK1","hurdle",0.589731080640355,1.683575,2.677358,0.993783,0.505
"1711","SLC16A11","hurdle",0.313052226356001,1.906447,2.81399,0.907543,0.505
"1600","RMDN2","hurdle",0.596572437794398,3.116416,4.131255,1.014839,0.505
"1596","RIMS4","hurdle",0.0882151976669855,-3.3219281,0.5795896,3.9015177,0.505
"1586","RGS13","hurdle",0.0882151976669856,-3.321928,-2.680989,0.640939,0.505
"1561","RAD54B","hurdle",0.386406310887212,0.868911,2.094346,1.225435,0.505
"1417","PKDREJ","hurdle",0.0882151976669857,-3.321928,-2.103229,1.218699,0.505
"1391","PFKFB4","hurdle",0.670614240749614,3.555289,4.429397,0.874108,0.505
"1383","PDZD3","hurdle",0.718482698097233,0.2280172,1.2915074,1.0634902,0.505
"1377","PDE6H","hurdle",0.0882151976669856,-3.321928,-1.172762,2.149166,0.505
"1350","PCDHA9","hurdle",0.86752061606118,1.076459,1.961424,0.884965,0.505
"1286","NOG","hurdle",0.866634874570519,-0.7136971,-0.2000784,0.5136187,0.505
"1258","NEK8","hurdle",0.195077705831803,3.60189,4.204311,0.602421,0.505
"963","JPH1","hurdle",0.488958906417562,1.953155,2.718106,0.764951,0.505
"950","ISM2","hurdle",0.0882151976669852,-3.3219281,0.1500564,3.4719845,0.505
"860","HHIPL1","hurdle",0.667112114575789,-0.2697637,1.5016992,1.7714629,0.505
"842","HAL","hurdle",0.0882151976669855,-3.3219281,0.2598535,3.5817816,0.505
"759","GCNT4","hurdle",0.59176740409133,2.29335,3.083164,0.789814,0.505
"745","GAL3ST3","hurdle",0.0882151976669857,-3.321928,-2.221203,1.100725,0.505
"733","FSIP2","hurdle",0.740366620992912,2.586462,3.290322,0.70386,0.505
"585","ENO3","hurdle",0.024145130508772,0.8380632,2.8027719,1.9647087,0.505
"554","DRD1","hurdle",0.0882151976669857,-3.321928,-1.761159,1.560769,0.505
"527","DKK4","hurdle",0.645898542312854,0.6797682,1.814182,1.1344138,0.505
"413","CLDN16","hurdle",0.569302144494837,-0.558151,0.7218695,1.2800205,0.505
"348","CDADC1","hurdle",0.0434172683210659,3.683219,4.247842,0.564623000000001,0.505
"329","CCNA1","hurdle",0.39057304648114,1.365934,2.503675,1.137741,0.505
"315","CCDC144NL","hurdle",0.0882151976669855,-3.3219281,-0.2060707,3.1158574,0.505
"222","C11orf85","hurdle",0.0882151976669857,-3.321928,-1.445837,1.876091,0.505
"179","B3GAT1","hurdle",0.494902896867287,1.03194,1.820797,0.788857,0.505
"118","ARHGAP33","hurdle",0.595802813485857,2.247314,3.107566,0.860252,0.505
"2115","ZFP28","hurdle",0.82438195602284,2.966701,3.825472,0.858771,0.504
"2087","WDR90","hurdle",0.736656714313546,2.843525,3.358248,0.514723,0.504
"2040","UHRF1BP1","hurdle",0.352859217919525,4.294317,4.958903,0.664586,0.504
"1984","TRIM36","hurdle",0.802908731512208,0.4393764,1.2587904,0.819414,0.504
"1979","TRAIP","hurdle",0.706478078616697,0.1645534,1.1416007,0.9770473,0.504
"1911","TIGD3","hurdle",0.785031134623674,0.8272787,1.4984181,0.6711394,0.504
"1896","TEX12","hurdle",0.2494787907865,-3.0970639,-0.7357104,2.3613535,0.504
"1839","STARD9","hurdle",0.421058912075442,1.338254,2.264624,0.92637,0.504
"1793","SOX30","hurdle",0.2494787907865,-2.694503,-1.761159,0.933344,0.504
"1729","SLC25A51","hurdle",0.162351086809065,3.476076,4.386125,0.910049,0.504
"1704","SLA2","hurdle",0.494244515052541,-1.3977555,0.7595881,2.1573436,0.504
"1688","SH3GL3","hurdle",0.249478790786499,-1.8163986,-0.2737846,1.542614,0.504
"1657","SCRT2","hurdle",0.2494787907865,-1.6690469,-0.6808195,0.9882274,0.504
"1613","ROPN1L","hurdle",0.249478790786499,-1.193751,1.047604,2.241355,0.504
"1559","RAD51AP2","hurdle",0.249478790786503,-3.1624627,-0.6983125,2.4641502,0.504
"1479","PPP3CC","hurdle",0.0513725225706062,4.3546,4.8831,0.5285,0.504
"1360","PCDHGA7","hurdle",0.644622102676897,0.5157303,1.8229086,1.3071783,0.504
"1359","PCDHGA6","hurdle",0.869473368923804,1.237294,1.811491,0.574197,0.504
"1358","PCDHGA1","hurdle",0.249478790786501,-3.190207,-1.054267,2.13594,0.504
"1318","ORAOV1","hurdle",0.521799246581204,3.275353,3.799528,0.524175,0.504
"1317","OR7D2","hurdle",0.249478790786501,-2.235688,0.9938041,3.2294921,0.504
"1222","MYLK4","hurdle",0.776531704092408,-1.5182574,-0.9880506,0.5302068,0.504
"1215","MYB","hurdle",0.249478790786501,-3.143282,1.051057,4.194339,0.504
"1197","MS4A7","hurdle",0.249478790786501,-1.9183198,-0.6445213,1.2737985,0.504
"1128","MAP6D1","hurdle",0.263494419214536,1.315555,2.613263,1.297708,0.504
"1061","LGSN","hurdle",0.249478790786502,-3.245545,0.8827461,4.1282911,0.504
"953","ITGB1BP2","hurdle",0.249478790786503,-3.106274,-2.103229,1.003045,0.504
"904","HSPB3","hurdle",0.249478790786503,-1.7232483,0.4001218,2.1233701,0.504
"863","HIF3A","hurdle",0.249478790786499,-2.359888,-1.582027,0.777861,0.504
"859","HES7","hurdle",0.249478790786499,-1.763619,1.047604,2.811223,0.504
"815","GPRIN3","hurdle",0.968704716103993,3.843954,4.452729,0.608775,0.504
"576","ELMOD3","hurdle",0.30187579013097,4.236189,4.766136,0.529947,0.504
"569","EFCAB6","hurdle",0.388958049000503,1.541568,2.732858,1.19129,0.504
"555","DSC3","hurdle",0.249478790786502,-2.2677679,-0.6445213,1.6232466,0.504
"479","CSPG5","hurdle",0.249478790786503,-1.9866372,-0.2776578,1.7089794,0.504
"443","COLEC10","hurdle",0.249478790786503,-2.1695255,-0.6235573,1.5459682,0.504
"285","CACNA1I","hurdle",0.249478790786499,-1.845374,-0.345303,1.500071,0.504
"200","BNIP1","hurdle",0.285397567574247,4.074034,4.734187,0.660153,0.504
"61","AKAP6","hurdle",0.728104409820914,1.614762,2.434545,0.819783,0.504
"38","ADAMTSL3","hurdle",0.641556789663593,0.9331336,1.7487645,0.8156309,0.504
"36","ADAM32","hurdle",0.249478790786502,-0.8416444,0.2406571,1.0823015,0.504
"11","ABCG4","hurdle",0.249478790786502,-2.3898401,-0.1958878,2.1939523,0.504
"2189","ZNF749","hurdle",0.816059471267562,1.247477,1.819723,0.572246,0.503
"2169","ZNF587B","hurdle",0.165282617141248,2.681779,3.415287,0.733508,0.503
"2094","WNT10A","hurdle",0.400772743285477,-1.8449974,0.7330558,2.5780532,0.503
