"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.stellate","log2fold_change","Auc"
"1851","ITGA10","hurdle",0.0479674149537637,1.25711,3.28452,2.02741,0.52
"1847","ISL2","hurdle",0.000149687876548333,-3.321928,1.522034,4.843962,0.52
"1834","IPP","hurdle",0.274314223716151,3.62466,4.158219,0.533559,0.52
"1823","INO80C","hurdle",0.529820341272669,4.088658,4.625785,0.537127,0.52
"1810","IL7R","hurdle",0.000149687876548332,-3.321928,2.701586,6.023514,0.52
"1632","HAS1","hurdle",0.000149687876548333,-3.321928,1.981993,5.303921,0.52
"1093","EBF2","hurdle",0.000149687876548333,-3.321928,1.487427,4.809355,0.52
"1042","DOCK9","hurdle",0.337952034324381,2.961876,3.647758,0.685882,0.52
"1011","DLEU2","hurdle",0.256464475889902,1.617974,2.697962,1.079988,0.52
"983","DEPDC1","hurdle",0.000149687876548331,-3.321928,2.782475,6.104403,0.52
"968","DDTL","hurdle",0.0324556927848393,0.3260879,1.376684,1.0505961,0.52
"919","CXCR4","hurdle",0.0275504492513807,0.5742706,2.5517495,1.9774789,0.52
"573","CCDC36","hurdle",0.000149687876548333,-3.321928,1.632045,4.953973,0.52
"77","ADCYAP1R1","hurdle",0.000149687876548332,-3.321928,2.115234,5.437162,0.52
"36","ACOX2","hurdle",0.0508838315884894,0.73625,1.57436,0.83811,0.52
"14","ABCA9","hurdle",0.0247373769765349,0.6944112,1.4416585,0.7472473,0.52
"4404","ZNF577","hurdle",0.320989482488461,1.90822,2.766545,0.858325,0.519
"4327","ZFP69","hurdle",0.0442092788368577,0.5587908,2.6148512,2.0560604,0.519
"4176","UNC5C","hurdle",0.0322092834573839,-0.488668,2.332547,2.821215,0.519
"4148","UBE2T","hurdle",0.389235418886699,2.952659,3.603644,0.650985,0.519
"3595","SMIM10","hurdle",0.14919494489603,0.8947707,2.1526033,1.2578326,0.519
"3397","SEMA3C","hurdle",0.102246750227807,0.8250771,2.5162638,1.6911867,0.519
"3365","SCLT1","hurdle",0.458289581439421,2.783676,3.517201,0.733525,0.519
"3111","RDH5","hurdle",0.0906854042229588,1.29618,2.770335,1.474155,0.519
"3076","RASSF2","hurdle",0.062448562340873,-0.3335972,1.2790238,1.612621,0.519
"3073","RASL11B","hurdle",0.00347648336252355,-1.408871,2.046594,3.455465,0.519
"2985","PTHLH","hurdle",0.0601522698702253,1.150011,2.75742,1.607409,0.519
"2735","PI15","hurdle",0.00306461305884848,0.5354619,1.2057642,0.6703023,0.519
"1786","IGFLR1","hurdle",0.066337150055446,-0.463218,1.519434,1.982652,0.519
"1777","IGDCC4","hurdle",3.29020683347987e-05,-3.272635,2.520279,5.792914,0.519
"1620","GTSE1","hurdle",0.00451925117062925,-1.49467,3.174194,4.668864,0.519
"1615","GTF2H4","hurdle",0.341561745880495,2.129238,3.01262,0.883382,0.519
"1525","GJC1","hurdle",0.0654731534091235,-0.07613157,1.91581643,1.991948,0.519
"1434","FOXM1","hurdle",0.00463019647854096,-0.1453191,3.2720016,3.4173207,0.519
"1333","FANCA","hurdle",0.0346289488092233,0.6036015,1.7292825,1.125681,0.519
"1014","DLGAP5","hurdle",0.00440549334524877,-1.395595,2.649636,4.045231,0.519
"723","CHRDL1","hurdle",0.00364406937456742,-2.769018,1.448194,4.217212,0.519
"664","CDT1","hurdle",0.0516890796124139,1.221996,3.081411,1.859415,0.519
"627","CD93","hurdle",0.00374401508794402,-1.545817,1.972781,3.518598,0.519
"603","CCR10","hurdle",0.246017608600948,2.335496,3.150345,0.814849,0.519
"564","CCDC151","hurdle",0.105313328705225,2.758929,3.636974,0.878045,0.519
"473","C2orf44","hurdle",0.30800955015764,2.777523,3.314452,0.536929,0.519
"149","ANGPT1","hurdle",0.00081929901642321,-3.190207,1.665609,4.855816,0.519
"92","AFAP1L1","hurdle",0.00360093488409159,-2.416563,1.867514,4.284077,0.519
"4446","ZNF837","hurdle",0.383431060918523,2.372386,3.030797,0.658411,0.518
"4305","ZC3H12B","hurdle",0.0990077044489344,1.207024,2.219653,1.012629,0.518
"4102","TUBD1","hurdle",0.291531222197242,3.237638,3.849913,0.612275,0.518
"3991","TNFRSF1B","hurdle",0.0138333001639337,-1.898427,1.46368,3.362107,0.518
"3780","TAC1","hurdle",0.0097104432385757,-0.8750468,1.8683784,2.7434252,0.518
"3712","ST6GALNAC3","hurdle",0.0114207304064389,-1.067931,1.829601,2.897532,0.518
"3468","SHE","hurdle",0.0994793709146689,-0.2191142,1.5068181,1.7259323,0.518
"3467","SHCBP1","hurdle",0.0138480720365272,-0.6736751,2.4719706,3.1456457,0.518
"3182","RNF165","hurdle",0.00573343437633852,-0.8019094,1.3551154,2.1570248,0.518
"3070","RASD2","hurdle",0.0108877835714013,-2.462536,1.100416,3.562952,0.518
"2747","PIH1D2","hurdle",0.261721299150126,1.520375,2.596951,1.076576,0.518
"2262","MOCS1","hurdle",0.551308863217742,3.182567,4.075079,0.892512,0.518
"2063","LRP4","hurdle",0.174240253933557,1.164618,2.179634,1.015016,0.518
"1970","KLLN","hurdle",0.256714034411713,1.447323,2.254234,0.806911,0.518
"1948","KIF4A","hurdle",0.00412598733963045,-0.3908397,1.8495845,2.2404242,0.518
"1903","KCP","hurdle",0.0104722450143345,-1.687472,1.582088,3.26956,0.518
"1744","HYAL3","hurdle",0.22486678189334,1.628326,2.658248,1.029922,0.518
"1521","GINS4","hurdle",0.0249400763238029,0.8141549,3.0016241,2.1874692,0.518
"1379","FGD5","hurdle",0.0271912369661843,-1.2347988,0.9685638,2.2033626,0.518
"1338","FAR2","hurdle",0.0522776505349154,0.07372586,2.0847092,2.01098334,0.518
"1209","EPHB3","hurdle",0.0746190629499304,0.9606074,1.955314,0.9947066,0.518
"1208","EPHB1","hurdle",0.00837458594309233,-2.648982,1.964279,4.613261,0.518
"1101","EDA","hurdle",0.237698746655452,1.456661,2.378448,0.921787,0.518
"789","CNTROB","hurdle",0.496901332641389,3.386735,3.891091,0.504356,0.518
"488","C5orf34","hurdle",0.0672991270734968,0.3225234,2.5287302,2.2062068,0.518
"485","C4orf47","hurdle",0.0288838057971499,-0.9826914,1.6798013,2.6624927,0.518
"459","C1QB","hurdle",0.00489513294699203,-0.4166748,1.7317399,2.1484147,0.518
"432","C17orf97","hurdle",0.341349484869545,2.312901,3.206678,0.893777,0.518
"309","AURKB","hurdle",0.0118987629080553,-0.4067452,2.471496,2.8782412,0.518
"267","ASPM","hurdle",0.000242516528786424,-2.735554,3.10358,5.839134,0.518
"216","ARHGAP28","hurdle",0.0163804118435538,0.4001736,1.2057394,0.8055658,0.518
"76","ADCY9","hurdle",0.481019837019335,3.219061,3.961018,0.741957,0.518
"4381","ZNF417","hurdle",0.434475375325667,1.62502,2.22901,0.60399,0.517
"4292","YPEL4","hurdle",0.0302756082492945,-1.201566,1.231647,2.433213,0.517
"4239","WDHD1","hurdle",0.0112031010248656,0.07928179,2.79928363,2.72000184,0.517
"4165","UEVLD","hurdle",0.187924986267275,3.569167,4.360568,0.791401,0.517
"4162","UCN","hurdle",0.134917537718742,0.489882,2.027961,1.538079,0.517
"3658","SPATA18","hurdle",0.156195056296063,1.829754,2.945008,1.115254,0.517
"3566","SLC45A1","hurdle",0.15534674661851,2.565028,3.626982,1.061954,0.517
"3520","SLC25A19","hurdle",0.354017231345021,1.740021,2.413114,0.673093,0.517
"3466","SHC4","hurdle",0.113698889007143,1.27305,2.061802,0.788752,0.517
"3434","SFMBT2","hurdle",0.111679742275334,0.7173784,2.4306818,1.7133034,0.517
"3400","SEMA6C","hurdle",0.170784413555937,-0.132885,1.665137,1.798022,0.517
"3368","SCN7A","hurdle",0.0500108115195513,-0.5666312,1.3876311,1.9542623,0.517
"3323","RTKN2","hurdle",0.167202028432072,1.217406,2.327513,1.110107,0.517
"2936","PRX","hurdle",0.0267573490981922,-1.0666507,-0.1007428,0.9659079,0.517
"2828","POLN","hurdle",0.170247540664248,0.3403635,1.9885822,1.6482187,0.517
"2812","PNPLA3","hurdle",0.0262540166112231,-1.06088,2.223531,3.284411,0.517
"2708","PGBD1","hurdle",0.245693555869656,2.400053,3.299516,0.899463,0.517
"2560","OIP5","hurdle",0.0415921112205781,-1.2025639,0.8249535,2.0275174,0.517
"2020","LGI2","hurdle",0.153025573159562,2.868622,4.29246,1.423838,0.517
"1949","KIFC1","hurdle",0.047083987593521,-0.5447132,1.6177238,2.162437,0.517
"1481","GALNT5","hurdle",0.0552289304052327,-0.3325853,2.3413579,2.6739432,0.517
"1444","FSIP1","hurdle",0.106948180004366,0.7530867,1.8249069,1.0718202,0.517
"1387","FHAD1","hurdle",0.111732126831822,1.693488,3.094308,1.40082,0.517
"1242","EVI2A","hurdle",0.054631544157965,-1.177343,1.63382,2.811163,0.517
"846","CPAMD8","hurdle",0.0301175518685507,-1.5552294,0.8192489,2.3744783,0.517
"755","CLEC2D","hurdle",0.0777997096962905,2.464092,3.116316,0.652224,0.517
"508","CACNB1","hurdle",0.262789311282693,1.200532,2.269591,1.069059,0.517
"495","C7orf31","hurdle",0.323346740877354,1.90065,2.900167,0.999517,0.517
"349","BDNF","hurdle",0.0118300538630671,-2.010912,1.403753,3.414665,0.517
"333","BATF3","hurdle",0.0263036620186338,-0.8373463,1.226919,2.0642653,0.517
"332","BATF","hurdle",0.0207268829907146,0.02654096,2.13606653,2.10952557,0.517
"265","ASPA","hurdle",0.0449076881972588,-0.3481427,1.5791046,1.9272473,0.517
"180","AP3S2","hurdle",0.35309605126344,1.612275,2.475578,0.863303,0.517
"67","ADAMTS5","hurdle",0.0291737437550455,-0.946632,1.955003,2.901635,0.517
"4444","ZNF835","hurdle",0.317700364792858,1.149433,1.79644,0.647007,0.516
"4424","ZNF701","hurdle",0.15361255005968,2.022219,2.903823,0.881604,0.516
"4199","VAMP1","hurdle",0.456419456162492,2.210947,2.725946,0.514999,0.516
"4149","UBE2V1","hurdle",0.185770787778782,2.254119,3.289546,1.035427,0.516
"3939","TMEM169","hurdle",0.21060528375105,0.5838165,1.8254278,1.2416113,0.516
"3825","TBXA2R","hurdle",0.161170341845221,0.1460217,2.1974215,2.0513998,0.516
"3019","QRICH2","hurdle",0.136237296415268,0.6613612,1.9212065,1.2598453,0.516
"2320","MSANTD2","hurdle",0.368924098814705,2.012782,2.559527,0.546745,0.516
"2136","MAP3K6","hurdle",0.147814944234221,2.318188,3.527622,1.209434,0.516
"1790","IL10","hurdle",0.319151944932334,1.297292,2.588154,1.290862,0.516
"1117","EFNA3","hurdle",0.305715277522538,1.21347,1.962792,0.749322,0.516
"900","CTH","hurdle",0.296569027986425,1.944021,3.445238,1.501217,0.516
"673","CENPF","hurdle",0.000638127067758792,0.7976726,4.6455292,3.8478566,0.516
"641","CDC6","hurdle",0.214304102868745,0.8717348,2.0636551,1.1919203,0.516
"631","CDC20","hurdle",0.0124351622328927,-0.5337033,3.3547426,3.8884459,0.516
"570","CCDC18","hurdle",0.0390601808546667,1.617172,2.710231,1.093059,0.516
"561","CCDC138","hurdle",0.343066271977715,1.425392,2.22184,0.796448,0.516
"435","C18orf54","hurdle",0.0620326299126014,-0.5192182,1.7776108,2.296829,0.516
"297","ATP6V1B1","hurdle",0.0541246057155867,-1.04170629,-0.09897966,0.94272663,0.516
"71","ADAMTSL5","hurdle",0.0816737567762231,-0.6704152,1.50971,2.1801252,0.516
"4413","ZNF610","hurdle",0.249425584743791,1.169094,1.735113,0.566019,0.515
"4324","ZFP37","hurdle",0.289446315074649,2.215328,3.011226,0.795898,0.515
"4174","ULK4","hurdle",0.423496151160575,2.375857,3.234234,0.858377,0.515
"3822","TBX18","hurdle",0.00119817761615864,-3.3219281,0.6731221,3.9950502,0.515
"3581","SLC9A5","hurdle",0.00119817761615868,-3.3219281,0.8675415,4.1894696,0.515
"3574","SLC6A16","hurdle",0.0788836703891056,0.0007722572,2.0035877374,2.0028154802,0.515
"3347","SAMD15","hurdle",0.263576652102471,0.8641292,1.9945503,1.1304211,0.515
"3139","RGPD4","hurdle",0.0354888382433876,-1.863924,1.790398,3.654322,0.515
"2646","PCDHGA4","hurdle",0.119861271420191,-0.9377351,1.1236662,2.0614013,0.515
"2528","NUDT13","hurdle",0.448372740915827,1.309396,1.840557,0.531161,0.515
"2453","NKX3-2","hurdle",0.00119817761615864,-3.3219281,-0.1861793,3.1357488,0.515
"2190","MEOX2","hurdle",0.00119817761615866,-3.321928,0.901471,4.223399,0.515
"2068","LRRC3","hurdle",0.0367809777693168,-0.5700122,2.5059566,3.0759688,0.515
"2054","LPAR4","hurdle",0.00119817761615864,-3.321928,1.779699,5.101627,0.515
"1975","KRBOX1","hurdle",0.251378589102892,2.563657,3.483732,0.920075,0.515
"1785","IGFL2","hurdle",0.00119817761615868,-3.321928,3.080807,6.402735,0.515
"1677","HJURP","hurdle",0.00119817761615864,-3.321928,1.381097,4.703025,0.515
"1594","GREB1L","hurdle",0.0252819373122887,-1.349309,1.626691,2.976,0.515
"1569","GPC2","hurdle",0.0811841119891213,0.2654146,1.4413368,1.1759222,0.515
"1307","FAM225A","hurdle",0.00119817761615864,-3.32192809,0.02061165,3.34253974,0.515
"876","CRYGS","hurdle",0.0623201291655179,-0.5870184,1.871873,2.4588914,0.515
"804","COL24A1","hurdle",0.00119817761615864,-3.321928,1.082797,4.404725,0.515
"744","CKAP2L","hurdle",0.00119817761615864,-3.321928,1.697816,5.019744,0.515
"678","CENPL","hurdle",0.44287756405987,1.653407,2.507419,0.854012,0.515
"611","CD101","hurdle",0.10226639522538,-1.445362,1.319586,2.764948,0.515
"596","CCNB2","hurdle",0.0101525896263187,-0.9565277,2.6243097,3.5808374,0.515
"539","CASS4","hurdle",0.00119817761615866,-3.3219281,0.3795322,3.7014603,0.515
"506","CACNA1E","hurdle",0.00119817761615867,-3.3219281,0.5926243,3.9145524,0.515
"505","CACHD1","hurdle",0.302814773252877,1.959797,2.896337,0.93654,0.515
"295","ATP6V0D2","hurdle",0.00119817761615864,-3.321928,1.411254,4.733182,0.515
"65","ADAMTS3","hurdle",0.00119817761615866,-3.3219281,-0.5668919,2.7550362,0.515
"47","ACTN2","hurdle",0.124431348414147,-0.5371176,1.1254538,1.6625714,0.515
"4430","ZNF747","hurdle",0.65057353901654,2.622749,3.139434,0.516685,0.514
"4393","ZNF501","hurdle",0.417192654127499,1.506807,2.14596,0.639153,0.514
"4354","ZNF230","hurdle",0.479346948495326,1.906373,2.736741,0.830368,0.514
"4263","WNT3","hurdle",0.157406134967461,-0.06384611,0.7204304,0.78427651,0.514
"4207","VAX2","hurdle",0.262026106833224,0.4425031,1.8295874,1.3870843,0.514
"4194","UST","hurdle",0.412401793350552,1.623491,2.259854,0.636363,0.514
"4170","UHRF1","hurdle",0.119418131234383,0.6402768,1.2386574,0.5983806,0.514
"4092","TTK","hurdle",0.0244285917869355,-1.723248,1.644326,3.367574,0.514
"4031","TRABD2B","hurdle",0.143278532601853,0.7573464,1.3382592,0.5809128,0.514
"3842","TCTEX1D1","hurdle",0.0252030610117487,-2.530189,1.098375,3.628564,0.514
"3777","SYTL3","hurdle",0.207896926013855,0.5866086,2.1505101,1.5639015,0.514
"3768","SYCP2","hurdle",0.230832480568125,0.6890373,2.1944704,1.5054331,0.514
"3484","SIX1","hurdle",0.0253058823045405,-1.635975,2.196163,3.832138,0.514
"3138","RGPD3","hurdle",3.74522298028816e-06,-1.138086,3.073391,4.211477,0.514
"3115","RECQL4","hurdle",0.161877869467404,0.7453828,2.2268876,1.4815048,0.514
"3032","RAB38","hurdle",0.262720494619367,0.9020394,2.292191,1.3901516,0.514
"2823","POLE2","hurdle",0.265158875681035,0.1470865,1.2856958,1.1386093,0.514
"2716","PHACTR1","hurdle",0.278049976367902,0.8935605,2.2066916,1.3131311,0.514
"2591","P2RX7","hurdle",0.0202740721287095,-2.954092,1.046943,4.001035,0.514
"2533","NUF2","hurdle",0.0221379444657166,-1.401754,2.004278,3.406032,0.514
"2207","MEX3A","hurdle",0.354138031343051,1.806675,2.334342,0.527667,0.514
"2124","MAMSTR","hurdle",0.342164594407842,1.917521,2.562302,0.644781,0.514
"2057","LPXN","hurdle",0.310325019231304,2.952045,3.64187,0.689825,0.514
"2044","LMNB1","hurdle",0.126087205479174,0.04495364,2.04522816,2.00027452,0.514
"1805","IL33","hurdle",0.0111852795591043,-2.255547,4.762852,7.018399,0.514
"1802","IL21R","hurdle",0.0249698045406643,-2.025875,1.639327,3.665202,0.514
"1792","IL12A","hurdle",0.0199645883069745,-2.8020378,0.5874433,3.3894811,0.514
"1712","HOXC8","hurdle",0.0118075644915497,-2.745504,1.412975,4.158479,0.514
"1519","GIMAP2","hurdle",0.0203602800024742,-1.439203,1.61705,3.056253,0.514
"1352","FBN2","hurdle",0.0224171252025349,-1.402522,1.857134,3.259656,0.514
"1346","FBF1","hurdle",0.287592265996939,0.9302836,1.7044426,0.774159,0.514
"879","CSMD2","hurdle",0.103479937606228,-0.5622934,1.9308808,2.4931742,0.514
"792","COCH","hurdle",0.4482972989821,2.42128,3.25244,0.83116,0.514
"736","CHSY3","hurdle",0.0170625683778355,-1.603986,1.073014,2.677,0.514
"674","CENPH","hurdle",0.485410176628171,1.937161,2.559278,0.622117,0.514
"587","CCDC89","hurdle",0.179681096408685,0.3333858,0.9999676,0.6665818,0.514
"560","CCDC136","hurdle",0.229614763300978,0.2696891,1.5765305,1.3068414,0.514
"532","CASC5","hurdle",0.00660016041200356,-2.849805,1.697816,4.547621,0.514
"125","ALDH8A1","hurdle",0.0131313106759519,-1.175615,1.179836,2.355451,0.514
"70","ADAMTSL4","hurdle",0.0179534396071337,-1.629554,1.826121,3.455675,0.514
"4428","ZNF728","hurdle",0.0597304374293206,-2.2823547,0.3851689,2.6675236,0.513
"4346","ZNF2","hurdle",0.388827382211488,2.734149,3.248473,0.514324,0.513
"4337","ZMYND10","hurdle",0.101305761441455,-0.9933354,1.4949788,2.4883142,0.513
"4332","ZKSCAN4","hurdle",0.595254434249787,2.208992,2.848354,0.639362,0.513
"4235","WBP2NL","hurdle",0.236777692293137,1.01417,1.99011,0.97594,0.513
"3540","SLC2A9","hurdle",0.229351521291797,0.3211278,1.8498668,1.528739,0.513
"3147","RHCG","hurdle",0.115449719322876,-0.1971774,2.7736738,2.9708512,0.513
"3078","RASSF9","hurdle",0.21576244951538,-0.1661733,1.3781332,1.5443065,0.513
"3044","RACGAP1","hurdle",0.199784725875527,1.466671,2.584774,1.118103,0.513
"2800","PLVAP","hurdle",0.221787268164767,0.449043,1.813036,1.363993,0.513
"2575","OSBPL3","hurdle",0.253418926167705,0.06349845,1.90524548,1.84174703,0.513
"2478","NOTCH4","hurdle",0.372642930081446,1.214136,1.756992,0.542856,0.513
"2452","NKX2-3","hurdle",0.0787359525572016,-1.381952,1.862027,3.243979,0.513
"2354","MYBL2","hurdle",0.0417754532196403,-1.360658,1.903539,3.264197,0.513
"2077","LRRIQ3","hurdle",0.36882934490124,0.8873104,1.6806669,0.7933565,0.513
"1943","KIF21B","hurdle",0.240743105916681,0.4275602,1.7754838,1.3479236,0.513
"1686","HMGA2","hurdle",0.00204293729671812,-3.016072,1.070958,4.08703,0.513
"1334","FANCB","hurdle",0.0615315131820289,-1.205464,1.461426,2.66689,0.513
"822","COLQ","hurdle",0.193003752703193,-0.1642638,1.7088649,1.8731287,0.513
"780","CNN1","hurdle",0.0525659461008964,-0.4111349,2.291722,2.7028569,0.513
"773","CMKLR1","hurdle",0.0195990012936965,-2.067069,1.67158,3.738649,0.513
"642","CDCA2","hurdle",0.0625185856330976,-1.076729,1.57028,2.647009,0.513
"624","CD79A","hurdle",0.0515109417347226,-0.7417992,1.7011211,2.4429203,0.513
"206","ARHGAP11A","hurdle",0.280686578670646,1.429144,3.245202,1.816058,0.513
"40","ACSL5","hurdle",0.407865948554292,1.988451,2.621691,0.63324,0.513
"4407","ZNF582","hurdle",0.355794188660798,2.294521,2.872111,0.57759,0.512
"4351","ZNF215","hurdle",0.325693702890075,0.1083613,1.1707923,1.062431,0.512
"4277","XYLB","hurdle",0.272153099962008,1.690249,2.771076,1.080827,0.512
"3142","RGS5","hurdle",0.00628920407308133,1.984115,4.469275,2.48516,0.512
"2971","PTCHD4","hurdle",0.126889990355301,-0.1810626,1.8775624,2.058625,0.512
"2829","POLQ","hurdle",0.0158020297616557,-2.12671,1.46341,3.59012,0.512
"2513","NRXN2","hurdle",0.430266435212948,0.779403,2.067846,1.288443,0.512
"2489","NPR3","hurdle",0.15565072368384,-1.0168524,0.9242397,1.9410921,0.512
"2223","MIAT","hurdle",0.376601626520232,-0.5923409,0.1572987,0.7496396,0.512
"1728","HSF2BP","hurdle",0.0537504494767047,-0.2275022,1.3367092,1.5642114,0.512
"1576","GPR135","hurdle",0.0999185240914025,1.732603,2.953671,1.221068,0.512
"1468","GAB3","hurdle",0.0675901728904927,-0.2906446,0.5503783,0.8410229,0.512
"1441","FRRS1","hurdle",0.150320024461962,-1.250202,1.144499,2.394701,0.512
"1355","FBXL19","hurdle",0.165258172060335,2.045312,2.818091,0.772779,0.512
"1179","EME1","hurdle",0.117357643861834,-0.33521,1.303967,1.639177,0.512
"712","CHEK2","hurdle",0.498132972915084,1.449953,2.17521,0.725257,0.512
"701","CGREF1","hurdle",0.0291910750521185,0.7311701,2.4262551,1.695085,0.512
"666","CDYL2","hurdle",0.181349438481302,0.3670247,0.9574809,0.5904562,0.512
"490","C6orf163","hurdle",0.377965244928736,-0.507406,0.07810783,0.58551383,0.512
"443","C19orf57","hurdle",0.182484461738915,-0.1601419,1.2179435,1.3780854,0.512
"214","ARHGAP24","hurdle",0.40544810896398,4.518523,5.188367,0.669844,0.512
"75","ADCY4","hurdle",0.0174755697177513,-1.841415,1.68746,3.528875,0.512
"4090","TTC4","hurdle",0.600049289219551,0.306591,1.50152,1.194929,0.511
"3913","TLR6","hurdle",0.436775296139081,0.2917717,1.2295436,0.9377719,0.511
"3446","SGOL1","hurdle",0.479384900505744,1.263808,1.934645,0.670837,0.511
"3372","SCUBE2","hurdle",0.264216958031301,0.3577201,1.0727186,0.7149985,0.511
"3137","RGMA","hurdle",0.316701003578386,0.5733875,1.860905,1.2875175,0.511
"2189","MELK","hurdle",0.264225847539594,0.04989817,1.58606883,1.53617066,0.511
"1998","LAPTM5","hurdle",0.240910186190728,-0.2192215,0.8897289,1.1089504,0.511
"1840","IRF8","hurdle",0.227167198789584,-1.3976902,0.7256275,2.1233177,0.511
"1690","HMMR","hurdle",0.0335794066774617,-1.067769,2.33749,3.405259,0.511
"1626","GYS1","hurdle",0.78810504267074,4.04845,4.841891,0.793441000000001,0.511
"1547","GNA14","hurdle",0.0207650562766622,-1.327544,2.338952,3.666496,0.511
"1202","EP400NL","hurdle",0.0243094333622308,2.831656,3.629385,0.797729,0.511
"4449","ZNF850","hurdle",0.505716220738276,1.175139,1.819031,0.643892,0.51
"4439","ZNF788","hurdle",0.00890133383390936,-0.2462276,2.5465118,2.7927394,0.51
"4398","ZNF527","hurdle",0.761221284329347,2.255446,2.774548,0.519102,0.51
"4391","ZNF484","hurdle",0.371203566917653,3.475722,4.069199,0.593477,0.51
"4302","ZBTB7C","hurdle",0.482705236275951,1.356874,2.017085,0.660211,0.51
"4250","WDR63","hurdle",0.316768312256062,0.2244196,1.3577402,1.1333206,0.51
"4059","TRIP13","hurdle",0.123605124352276,0.4206894,2.4309594,2.01027,0.51
"4017","TPBGL","hurdle",0.31258696208896,-0.3180134,1.3917122,1.7097256,0.51
"3971","TMEM79","hurdle",0.145969611814965,0.2666399,1.76476,1.4981201,0.51
"3961","TMEM35","hurdle",0.0098872889170201,-3.321928,1.849073,5.171001,0.51
"3906","TK1","hurdle",0.37334693662254,2.418744,3.258927,0.840183,0.51
"3797","TAMM41","hurdle",0.231161237106199,3.496209,4.07133,0.575121,0.51
"3652","SPAG4","hurdle",0.320053111393182,2.974797,3.638979,0.664182,0.51
"3645","SOX11","hurdle",0.107963368545683,-0.4962934,1.6334314,2.1297248,0.51
"3505","SLC16A14","hurdle",0.0967433235654156,-0.8676686,1.5310375,2.3987061,0.51
"3402","SENP3","hurdle",0.541814103575818,0.7749708,1.8699473,1.0949765,0.51
"3367","SCN4B","hurdle",0.0098872889170202,-3.321928,1.161388,4.483316,0.51
"3327","RUNX3","hurdle",0.00988728891702008,-3.321928,1.739502,5.06143,0.51
"2932","PRSS21","hurdle",0.352102024489845,0.5209824,1.3780641,0.8570817,0.51
"2900","PREX2","hurdle",0.195580241623943,-0.6392944,1.540706,2.1800004,0.51
"2592","P2RY11","hurdle",0.509044030717319,0.4231994,1.6020265,1.1788271,0.51
"2508","NRIP2","hurdle",0.610579277072802,0.1023196,0.8744737,0.7721541,0.51
"2502","NR4A3","hurdle",0.374487219072579,1.001511,3.681767,2.680256,0.51
"2428","NETO1","hurdle",0.0098872889170201,-3.321928,1.037651,4.359579,0.51
"2420","NECAB1","hurdle",0.670450843751745,2.375834,2.884312,0.508478,0.51
"2256","MNS1","hurdle",0.633465817354446,2.108785,2.963291,0.854506,0.51
"2157","MATN1","hurdle",0.00988728891702013,-3.3219281,0.4973506,3.8192787,0.51
"2033","LINGO4","hurdle",0.00988728891702003,-3.321928,-2.607836,0.714092,0.51
"2005","LBX2","hurdle",0.00988728891702008,-3.3219281,0.7235376,4.0454657,0.51
"1972","KNTC1","hurdle",0.452868379477814,0.6964147,1.562919,0.8665043,0.51
"1937","KIF14","hurdle",0.163154946074089,-0.8090474,1.3810971,2.1901445,0.51
"1928","KIAA0226L","hurdle",0.00988728891702003,-3.3219281,0.9039919,4.22592,0.51
"1700","HOXA1","hurdle",0.00988728891702008,-3.321928,1.377008,4.698936,0.51
"1423","FOLH1","hurdle",0.00988728891702003,-3.321928,1.24341,4.565338,0.51
"1219","ERG","hurdle",0.00988728891702013,-3.321928,1.026502,4.34843,0.51
"927","CYP19A1","hurdle",0.00988728891702003,-3.3219281,0.1221151,3.4440432,0.51
"819","COL9A3","hurdle",0.500515612032288,1.248209,2.022081,0.773872,0.51
"741","CILP2","hurdle",0.00988728891702003,-3.321928,1.341945,4.663873,0.51
"726","CHRNE","hurdle",0.340590815398932,-0.3803426,1.3372692,1.7176118,0.51
"714","CHI3L1","hurdle",0.487999971867139,3.661825,5.81564,2.153815,0.51
"566","CCDC163P","hurdle",0.332116223230281,0.4179968,1.5499508,1.131954,0.51
"518","CAMK2A","hurdle",0.00988728891702008,-3.3219281,-0.9134868,2.4084413,0.51
"385","BRCA2","hurdle",0.240012685086763,0.4020225,1.1124488,0.7104263,0.51
"364","BLM","hurdle",0.139484777018264,-0.5759721,1.5499025,2.1258746,0.51
"191","APOBR","hurdle",0.00988728891702008,-3.3219281,0.5791813,3.9011094,0.51
"118","AKNAD1","hurdle",0.00988728891702011,-3.321928,-1.034439,2.287489,0.51
"97","AGAP4","hurdle",0.190087625260971,-0.05851183,2.01987911,2.07839094,0.51
"4416","ZNF625","hurdle",0.568435487347591,1.131916,1.944086,0.81217,0.509
"4395","ZNF517","hurdle",0.403979864398702,-0.3123759,0.7778869,1.0902628,0.509
"4379","ZNF41","hurdle",0.567053519312791,2.481195,3.431783,0.950588,0.509
"4256","WFDC3","hurdle",0.398540396549796,-0.4054097,1.0453605,1.4507702,0.509
"4114","TXLNB","hurdle",0.0419979963625481,-2.666615,-1.319253,1.347362,0.509
"4079","TSPAN18","hurdle",0.0419979963625471,-1.847076,1.076063,2.923139,0.509
"3885","TIE1","hurdle",0.041997996362547,-1.847076,1.811089,3.658165,0.509
"3883","THSD1","hurdle",0.416210762178978,0.1397609,1.4593951,1.3196342,0.509
"3657","SPATA17","hurdle",0.141977060623947,0.6489817,2.2832116,1.6342299,0.509
"3573","SLC6A1","hurdle",0.0098872889170201,-3.305294,1.206968,4.512262,0.509
