"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.delta","log2fold_change","Auc"
"599","DPYSL3","hurdle",2.65620205235818e-07,5.002162,6.58135,1.579188,0.628
"2015","SYT11","hurdle",1.92409485431597e-05,6.163963,7.167996,1.004033,0.627
"2002","SVIP","hurdle",7.03658945265994e-05,6.594284,7.442781,0.848497,0.627
"1355","NFASC","hurdle",2.47406106089895e-06,5.535396,6.51943,0.984033999999999,0.627
"1047","KCNIP1","hurdle",2.07525216790439e-12,3.201625,5.951231,2.749606,0.627
"1003","INA","hurdle",1.42632917450249e-05,6.353609,7.375984,1.022375,0.627
"646","EMC10","hurdle",0.000215933215181127,8.03448,8.538244,0.503764,0.627
"446","CNIH2","hurdle",9.23272144992493e-07,5.127278,6.708543,1.581265,0.627
"1199","MAP9","hurdle",5.53579837502369e-07,5.92928,7.135635,1.206355,0.626
"277","CACNA2D1","hurdle",7.82134648398284e-07,4.535239,6.191345,1.656106,0.626
"184","BHLHE41","hurdle",6.61214844113706e-07,4.811775,6.461776,1.650001,0.626
"1605","PRKACB","hurdle",3.13548815095765e-07,6.251025,7.686936,1.435911,0.625
"1500","PEG3","hurdle",1.37130436612165e-07,4.355866,6.338649,1.982783,0.625
"667","ERBB4","hurdle",2.85895651647617e-18,-0.9121687,5.4287163,6.340885,0.625
"164","BAIAP3","hurdle",9.80289628207413e-09,5.261313,7.480416,2.219103,0.625
"820","GABRG2","hurdle",6.34921031363229e-14,2.124093,6.117021,3.992928,0.624
"402","CEP41","hurdle",5.13430554984273e-07,4.716424,6.394941,1.678517,0.624
"59","ALCAM","hurdle",1.58083167160351e-05,7.096774,7.998646,0.901872,0.624
"1995","STXBP5L","hurdle",2.1585103031095e-10,3.409259,6.222266,2.813007,0.623
"1495","PDX1","hurdle",6.56522126304947e-06,5.926723,7.109807,1.183084,0.623
"2184","TTC3","hurdle",0.000527901870160397,8.579766,9.15852,0.578754,0.622
"2014","SYT1","hurdle",5.8869682225618e-15,1.360894,5.837568,4.476674,0.622
"1367","NOL4","hurdle",1.75013542734949e-06,5.303294,6.861458,1.558164,0.622
"789","FMN2","hurdle",1.78901231433847e-07,3.824735,5.545513,1.720778,0.622
"1969","SSTR2","hurdle",4.2141049392958e-05,6.271257,7.31981,1.048553,0.621
"727","FAM49B","hurdle",4.21757625145024e-05,5.280098,6.461442,1.181344,0.621
