"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.acinar","log2fold_change","Auc"
"1012","DGKA","hurdle",0.0443989968231035,3.599001,4.682934,1.083933,0.544
"942","CYP27B1","hurdle",8.38400795574581e-05,0.6140246,3.7937976,3.179773,0.544
"878","CS","hurdle",0.162558317671443,6.119892,6.66247,0.542578,0.544
"824","COG8","hurdle",0.128636547203108,4.473512,4.982806,0.509294,0.544
"821","COG2","hurdle",0.0917776886484732,5.179323,5.738727,0.559404,0.544
"713","CEPT1","hurdle",0.221673584564284,4.815958,5.491708,0.67575,0.544
"663","CDCA7L","hurdle",0.00172565731477165,1.714484,3.39707,1.682586,0.544
"624","CCNG2","hurdle",0.175564070519106,4.525082,5.133453,0.608371,0.544
"210","AP1B1","hurdle",0.302439812120744,6.094455,6.62908,0.534625,0.544
"47","ACOX2","hurdle",0.000103696682229989,-0.3287143,3.0348496,3.3635639,0.544
"4472","ZNF678","hurdle",0.022976404589258,3.267548,3.94457,0.677022,0.543
"4457","ZNF600","hurdle",0.00555963124105621,2.617875,3.659624,1.041749,0.543
"4410","ZNF202","hurdle",0.00204825922344574,2.481061,3.194825,0.713764,0.543
"4264","VPS13D","hurdle",0.212308164248745,4.926846,5.823761,0.896915,0.543
"4134","TTC9","hurdle",0.0145031500484426,3.578369,4.220188,0.641819,0.543
"4075","TRIM38","hurdle",0.121851178494144,4.834602,5.381666,0.547064,0.543
"4071","TRIM31","hurdle",4.46697130150299e-08,-2.833433,3.505916,6.339349,0.543
"3958","TMEM41B","hurdle",0.267540788089887,5.53521,6.080811,0.545601,0.543
"3782","TADA2A","hurdle",0.00611461435200962,3.424797,3.999944,0.575147,0.543
"3502","SLC25A29","hurdle",0.122608193545964,4.432828,4.971348,0.53852,0.543
"3330","SAA2","hurdle",1.05964071189346e-06,-1.493003,5.074465,6.567468,0.543
"3145","RGMB","hurdle",0.14154230888484,4.037898,5.02055,0.982652,0.543
"2389","MYL5","hurdle",0.0184618802254372,2.907866,3.853122,0.945256,0.543
"2222","METTL17","hurdle",0.202124846076733,5.101414,5.838833,0.737419,0.543
"2207","MED18","hurdle",0.0280807731658855,3.51349,4.580562,1.067072,0.543
"1951","KHK","hurdle",0.0252739408793586,3.272398,3.98724,0.714842,0.543
"1905","IWS1","hurdle",0.228589748530491,5.770894,6.288177,0.517283,0.543
"1846","IMMP2L","hurdle",0.15876022607877,4.278672,4.786774,0.508102,0.543
"1608","GPT","hurdle",5.47518415053799e-06,-1.209114,3.176794,4.385908,0.543
"1523","GEMIN8","hurdle",0.148168979452952,4.745556,5.274908,0.529352,0.543
"1293","FAM102B","hurdle",0.00773070077999483,1.502802,3.116397,1.613595,0.543
"985","DDX19A","hurdle",0.0908034703632054,4.517563,5.219403,0.70184,0.543
"818","COBL","hurdle",0.145611952844581,4.335406,5.188137,0.852731,0.543
"692","CEBPA","hurdle",6.75595554759963e-07,-2.36542,3.612463,5.977883,0.543
"633","CCT5","hurdle",0.0522750149211654,7.172312,7.720099,0.547787,0.543
"455","C17orf96","hurdle",1.68636560132951e-06,-2.399543,2.878701,5.278244,0.543
"404","BOLA1","hurdle",0.178592607868772,4.731352,5.236666,0.505313999999999,0.543
"6","AARS2","hurdle",0.0351442091870453,2.915652,3.824097,0.908445,0.543
"4422","ZNF28","hurdle",0.137408853109994,3.710991,4.386432,0.675441,0.542
"4342","YME1L1","hurdle",0.0218672520370764,6.657316,7.178148,0.520832,0.542
"4233","USP54","hurdle",0.0268386577366695,3.691858,4.246701,0.554843,0.542
"3971","TMEM68","hurdle",0.150466628814476,4.788417,5.356737,0.56832,0.542
"3941","TMEM217","hurdle",0.00120876148279653,1.598565,3.279131,1.680566,0.542
"3897","TM9SF2","hurdle",0.00192691036420767,8.167924,8.871976,0.704052000000001,0.542
"3825","TCN2","hurdle",0.0679419506242107,4.172027,4.749473,0.577446,0.542
"3678","SPTBN5","hurdle",2.46242205024833e-05,-1.217095,2.792331,4.009426,0.542
"3367","SDR42E1","hurdle",0.0313919136571538,3.52028,4.549902,1.029622,0.542
"3078","RAP2A","hurdle",0.14041088128512,3.850794,4.455366,0.604572,0.542
"2789","PKN2","hurdle",0.0406000474349375,5.545439,6.12173,0.576291,0.542
"2717","PEAK1","hurdle",0.108387043054951,4.445347,4.95082,0.505473,0.542
"2479","NFYA","hurdle",0.104384903173014,4.125672,4.754143,0.628471,0.542
"2434","NCOA4","hurdle",0.0845587725042249,6.937999,7.465842,0.527843000000001,0.542
"2291","MPP5","hurdle",0.0740683349722542,4.47874,5.24225,0.76351,0.542
"2258","MIOS","hurdle",0.0583028232157734,3.603739,4.506187,0.902448,0.542
"2080","LRMP","hurdle",2.31318148643769e-05,-0.2249463,3.1953889,3.4203352,0.542
"1996","KRBOX1","hurdle",0.0065096741529188,2.59688,3.373021,0.776141,0.542
"1869","INTS8","hurdle",0.144351629917539,4.503107,5.279404,0.776297,0.542
"1824","IGSF9","hurdle",0.000158937028532268,0.5132281,3.7963003,3.2830722,0.542
"1788","IBTK","hurdle",0.0253155251204883,6.257057,6.766771,0.509714000000001,0.542
"1717","HLA-DQA1","hurdle",0.000505953085608395,0.7716634,3.8952265,3.1235631,0.542
"1546","GLOD4","hurdle",0.0375294546863986,6.225831,6.816893,0.591062,0.542
"1387","FCF1","hurdle",0.101246454847992,3.49725,4.05613,0.558879999999999,0.542
"1278","EZH2","hurdle",0.011557748669551,1.807243,3.388456,1.581213,0.542
"1227","EPHA2","hurdle",0.00637952973181176,2.771606,3.690322,0.918716,0.542
"1145","EFCAB11","hurdle",0.0417774494541253,2.900237,3.704002,0.803765,0.542
"1084","DPY19L1","hurdle",0.0570529058974752,3.602111,4.61409,1.011979,0.542
"960","DAPP1","hurdle",0.0131264696893631,2.060552,3.996698,1.936146,0.542
"829","COPB1","hurdle",0.00171240788148773,7.237479,7.843351,0.605872,0.542
"687","CDYL","hurdle",0.10350626371518,3.661953,4.480888,0.818935,0.542
"585","CC2D1A","hurdle",0.172945001046648,4.488214,5.062457,0.574243,0.542
"416","BRPF3","hurdle",0.137786661361217,4.33699,5.191697,0.854706999999999,0.542
"263","ARL6IP6","hurdle",0.121595620540507,3.930229,4.905991,0.975762,0.542
"142","ALDH1L1","hurdle",0.000684270657847011,1.975916,3.594774,1.618858,0.542
"4482","ZNF74","hurdle",0.038969310829157,3.020532,4.065927,1.045395,0.541
"4234","USP6NL","hurdle",0.0956806259212338,2.96687,4.321734,1.354864,0.541
"3933","TMEM182","hurdle",0.000662258486427594,1.302493,2.256756,0.954263,0.541
"3778","TAB3","hurdle",0.0808678216814843,3.846465,4.454612,0.608147,0.541
"3635","SOCS3","hurdle",0.0422657050819118,3.283665,4.473177,1.189512,0.541
"3629","SNX25","hurdle",0.0550157604500801,3.257797,3.983156,0.725359,0.541
"3482","SLC16A2","hurdle",0.0354199313152651,2.742656,4.030526,1.28787,0.541
"3447","SHKBP1","hurdle",0.236920569068079,5.334295,5.856811,0.522516,0.541
"3420","SFTPA2","hurdle",2.54589924251673e-07,-1.366993,3.924399,5.291392,0.541
"3350","SCML1","hurdle",0.102349206734348,3.62518,4.473916,0.848736,0.541
"3347","SBK1","hurdle",0.0110199577675338,2.264627,3.458651,1.194024,0.541
"3084","RARG","hurdle",0.0214406418538662,3.083362,3.842554,0.759192,0.541
"2810","PLEKHH3","hurdle",0.0310910123939488,3.611594,4.162952,0.551358,0.541
"2775","PIK3IP1","hurdle",0.0984722124888933,4.904181,5.764228,0.860047,0.541
"2736","PGBD2","hurdle",0.0125266456192338,2.325063,4.238835,1.913772,0.541
"2649","PARG","hurdle",0.11016021744526,3.354339,4.051725,0.697386,0.541
"2422","NAT10","hurdle",0.111922635817087,3.864586,4.442451,0.577865,0.541
"2257","MINPP1","hurdle",0.309775028946857,5.221812,5.755775,0.533963,0.541
"2247","MICAL1","hurdle",0.0876991203575828,4.314522,5.094932,0.78041,0.541
"2221","METTL15","hurdle",0.146743049284771,3.619548,4.448517,0.828969,0.541
"2071","LPCAT2","hurdle",0.00641125825134687,2.413412,3.622657,1.209245,0.541
"1870","INTS9","hurdle",0.0933037740014603,3.647043,4.727538,1.080495,0.541
"1800","IDUA","hurdle",0.134744762501967,3.86416,4.769458,0.905298,0.541
"1782","HUS1","hurdle",0.217993099102131,4.578969,5.103667,0.524698,0.541
"1371","FBRSL1","hurdle",0.127666643122372,3.431645,4.409019,0.977374,0.541
"1205","EMP2","hurdle",0.0436300472727184,5.091987,5.8132,0.721213000000001,0.541
"1068","DOCK5","hurdle",0.00608668099761409,2.195514,3.962879,1.767365,0.541
"1055","DNAJC16","hurdle",0.066129378135686,4.785983,5.295964,0.509981,0.541
"1047","DNAJA3","hurdle",0.0513962176700554,5.495755,6.083824,0.588069,0.541
"872","CRNDE","hurdle",0.00302174080732257,1.943198,3.358692,1.415494,0.541
"835","COQ2","hurdle",0.138631590553003,3.875685,4.617044,0.741359,0.541
"757","CIITA","hurdle",0.000938137570640774,0.6961512,3.0213176,2.3251664,0.541
"600","CCDC47","hurdle",0.00418337429895501,7.115506,7.647432,0.531926,0.541
"571","CASP9","hurdle",0.0741916001911209,3.142331,4.325685,1.183354,0.541
"251","ARHGEF10","hurdle",0.0078762946298991,1.733621,2.717207,0.983586,0.541
"218","AP5S1","hurdle",0.195620005318993,4.484802,5.021277,0.536475,0.541
"29","ACAD10","hurdle",0.163170816752766,4.469594,5.073483,0.603889000000001,0.541
"4231","USP43","hurdle",0.000375473828981515,0.670372,2.405652,1.73528,0.54
"4214","UPRT","hurdle",0.0781922551984681,3.89743,4.534737,0.637307,0.54
"4093","TRMT2A","hurdle",0.193157572402946,4.430428,5.13905,0.708622,0.54
"3751","SULT1E1","hurdle",3.91101912446267e-08,-3.321928,2.766738,6.088666,0.54
"3613","SMYD2","hurdle",0.116979060373153,4.946656,5.522256,0.5756,0.54
"3575","SLC52A2","hurdle",0.345509516335657,5.789949,6.318202,0.528253,0.54
"3341","SARS2","hurdle",0.153556585524747,3.911027,4.576699,0.665672,0.54
"2861","POU2AF1","hurdle",0.000153310623853108,-0.6040543,2.2454835,2.8495378,0.54
"2580","OBSCN","hurdle",0.011927456850161,1.825768,3.04649,1.220722,0.54
"2564","NUP54","hurdle",0.0934689765504444,4.613977,5.117707,0.50373,0.54
"1645","GUF1","hurdle",0.0954893648637868,4.296838,4.844186,0.547348,0.54
"1582","GORASP1","hurdle",0.198897906250332,4.59866,5.137511,0.538851,0.54
"1323","FAM185A","hurdle",0.0520325121086107,2.570942,3.617415,1.046473,0.54
"1009","DFNA5","hurdle",0.0657744252189238,3.012209,3.987049,0.97484,0.54
"805","CNKSR1","hurdle",0.0693135320527685,3.846032,4.916975,1.070943,0.54
"701","CENPB","hurdle",0.0398616491554502,4.46477,5.288837,0.824067,0.54
"496","C4orf33","hurdle",0.111124115966576,4.164909,5.082411,0.917502,0.54
"405","BORA","hurdle",0.000687867196434894,-0.09191466,2.98391729,3.07583195,0.54
"375","BCL2L11","hurdle",0.110335357183901,3.755411,4.303382,0.547971,0.54
"189","ANKRD27","hurdle",0.110737522162765,4.156793,4.798165,0.641372,0.54
"4484","ZNF75D","hurdle",0.028631292672379,2.090738,3.476263,1.385525,0.539
"4376","ZDHHC8","hurdle",0.119054384464574,3.911756,4.429835,0.518079,0.539
"4345","YTHDC2","hurdle",0.181496378710709,4.844993,5.45534,0.610347,0.539
"4343","YOD1","hurdle",0.0276036291377285,2.492984,3.849227,1.356243,0.539
"4220","URGCP","hurdle",0.289424369627709,5.136492,5.707708,0.571216000000001,0.539
"4096","TRMT61B","hurdle",0.0543365985590524,3.855403,4.991453,1.13605,0.539
"3912","TMEM104","hurdle",0.123282125456919,3.800662,4.392383,0.591721,0.539
"3860","THADA","hurdle",0.126409253840192,3.726851,4.769412,1.042561,0.539
"3536","SLC35B2","hurdle",0.0208341663339861,6.605454,7.188737,0.583283,0.539
"3525","SLC30A1","hurdle",0.038515384315127,3.818167,4.365731,0.547564,0.539
"3186","RNF115","hurdle",0.121435711290307,5.379889,6.098618,0.718729,0.539
"3098","RBM10","hurdle",0.183293697676079,5.267729,5.782149,0.51442,0.539
"3063","RAD51B","hurdle",0.0026242360515766,1.828094,2.683331,0.855237,0.539
"3019","PUS7","hurdle",0.0711164528717185,3.343328,3.980842,0.637514,0.539
"2881","PPM1J","hurdle",0.000228939245531016,0.4105144,3.6308416,3.2203272,0.539
"2790","PKN3","hurdle",2.8280620043817e-05,-1.564593,2.580758,4.145351,0.539
"2737","PGC","hurdle",7.21392352512093e-08,-3.018956,4.795017,7.813973,0.539
"2643","PAPOLB","hurdle",0.109696199266803,0.5609428,1.4563256,0.8953828,0.539
"2626","PABPC1L","hurdle",0.0725987716272538,2.726978,3.416257,0.689279,0.539
"1962","KIAA1841","hurdle",0.0837821581935816,3.359534,3.962914,0.60338,0.539
"1927","KCNJ13","hurdle",0.00029818979633649,-0.07656003,4.79910644,4.87566647,0.539
"1699","HILPDA","hurdle",0.10888150219486,4.14932,6.243502,2.094182,0.539
"1437","FRAT1","hurdle",0.00248168902385664,0.1463382,2.4002382,2.2539,0.539
"1225","EPHA1","hurdle",0.0168025820136812,2.063845,3.751666,1.687821,0.539
"1022","DHTKD1","hurdle",0.195535727559047,5.04022,5.669065,0.628845,0.539
"967","DBNDD2","hurdle",0.0520718795193122,0.8678856,1.5202863,0.6524007,0.539
"869","CRIPAK","hurdle",0.0206833538066478,3.416055,4.154547,0.738492,0.539
"863","CREB3L4","hurdle",0.0529838204016279,2.942978,4.146309,1.203331,0.539
"803","CNFN","hurdle",0.0454101782493888,2.901265,3.857025,0.95576,0.539
"786","CLP1","hurdle",0.0916319805762351,3.405627,4.080066,0.674439,0.539
"431","BYSL","hurdle",0.130180941511677,3.70257,4.903713,1.201143,0.539
"358","BAK1","hurdle",0.101616923662701,3.330063,3.859234,0.529171,0.539
"315","ATP13A4","hurdle",0.00628748937791682,1.733371,3.357877,1.624506,0.539
"280","ASB7","hurdle",0.069809990277199,3.17293,4.051784,0.878854,0.539
"84","ADCY9","hurdle",0.0328490614353655,3.246119,3.859543,0.613424,0.539
"68","ADA","hurdle",0.00109286070483023,3.117139,3.846903,0.729764,0.539
"4458","ZNF609","hurdle",0.207393500890705,4.433864,5.094686,0.660822,0.538
"4397","ZMIZ2","hurdle",0.125101468262749,3.568313,4.352064,0.783751000000001,0.538
"4366","ZCCHC17","hurdle",0.370831437939388,5.478034,6.010101,0.532067,0.538
"4137","TTLL1","hurdle",0.0960420347325495,3.475183,4.428651,0.953468,0.538
"4000","TNFRSF11A","hurdle",0.102631034004413,3.542308,4.486586,0.944278,0.538
"3915","TMEM110","hurdle",0.111213320197025,3.608493,4.422743,0.814249999999999,0.538
"3876","TIPIN","hurdle",0.0705801770157823,2.818366,3.605541,0.787175,0.538
"3863","THNSL2","hurdle",0.120973641173687,3.828438,4.38081,0.552372000000001,0.538
"3607","SMO","hurdle",0.0268720218779222,2.069893,3.476474,1.406581,0.538
"3578","SLC6A14","hurdle",1.1387982571497e-05,-1.219831,3.874103,5.093934,0.538
"3410","SERTAD2","hurdle",0.110896663126902,3.876699,4.449717,0.573018,0.538
"3361","SDC3","hurdle",0.035176530455779,2.619062,3.51534,0.896278,0.538
"3339","SAP30BP","hurdle",0.197574500278853,5.551457,6.157995,0.606538,0.538
"3206","RNF5","hurdle",0.273193430000378,4.717839,5.399099,0.68126,0.538
"3054","RAB5A","hurdle",0.0583496049370446,5.852014,6.38029,0.528276,0.538
"2788","PIWIL4","hurdle",0.00747009098963526,1.428408,3.575989,2.147581,0.538
"2768","PIGV","hurdle",0.197806231435228,4.262053,4.809433,0.54738,0.538
"2558","NUDT18","hurdle",0.126795192151215,3.936701,4.527272,0.590571,0.538
"2546","NSUN5","hurdle",0.226764094629302,4.229735,4.936219,0.706484000000001,0.538
"2474","NFKBIB","hurdle",0.112144572911017,3.91825,4.484346,0.566096,0.538
"2384","MYH14","hurdle",0.180732333116721,5.935704,6.727161,0.791456999999999,0.538
"2356","MTHFD1","hurdle",0.0979270689220697,4.36482,5.29526,0.93044,0.538
"2340","MST1","hurdle",0.0421603887205663,2.201357,3.258968,1.057611,0.538
"2082","LRP3","hurdle",0.243520323947821,4.186761,4.971582,0.784821,0.538
"2029","LBR","hurdle",0.248098429970612,4.771956,5.281629,0.509672999999999,0.538
"1764","HSDL2","hurdle",0.165128295185366,5.104355,5.668482,0.564127,0.538
"1581","GORAB","hurdle",0.136028406275941,3.682761,4.310575,0.627814,0.538
"1400","FGF13","hurdle",0.00204166453474026,1.674801,3.618759,1.943958,0.538
"1350","FAM89A","hurdle",0.0251012787146311,2.91152,3.480549,0.569029,0.538
"1096","DTYMK","hurdle",0.284135308531383,4.561347,5.367151,0.805804,0.538
"1093","DTWD2","hurdle",0.0292431205183274,1.911799,3.457681,1.545882,0.538
"993","DDX52","hurdle",0.428985071908474,5.522832,6.148413,0.625580999999999,0.538
"791","CLPSL2","hurdle",0.000316098494332207,1.04122,3.362274,2.321054,0.538
"790","CLPSL1","hurdle",4.53430403275918e-06,-1.993599,3.374325,5.367924,0.538
"613","CCDC94","hurdle",0.205458372633813,4.256333,4.922188,0.665855000000001,0.538
"587","CCDC120","hurdle",0.114445831458192,3.417852,4.340959,0.923107,0.538
"437","C11orf45","hurdle",8.20925206132653e-06,-0.9620134,3.6506296,4.612643,0.538
"223","APEX2","hurdle",0.19286784215054,4.318537,4.848753,0.530216,0.538
"111","AGR2","hurdle",0.000842348381769138,1.89665,5.782716,3.886066,0.538
"104","AGK","hurdle",0.101486163402667,4.025744,4.672687,0.646942999999999,0.538
"35","ACBD4","hurdle",0.0860968683829926,3.372088,3.879065,0.506977,0.538
"4481","ZNF738","hurdle",0.16868549679011,2.794711,3.393358,0.598647,0.537
"4475","ZNF691","hurdle",0.0516050395154702,3.490722,4.093058,0.602336,0.537
"4451","ZNF558","hurdle",0.0499118649696324,3.191741,3.853787,0.662046,0.537
"4444","ZNF486","hurdle",0.0118759152416048,1.534733,3.382033,1.8473,0.537
"4425","ZNF335","hurdle",0.181467374213476,3.850846,4.457803,0.606957,0.537
"4353","ZBTB2","hurdle",0.0269972634014445,3.375136,3.926653,0.551517,0.537
"4209","UMPS","hurdle",0.392230463299881,5.076191,5.589639,0.513448,0.537
"4142","TUBB3","hurdle",0.126876814734094,4.219222,5.441613,1.222391,0.537
"3937","TMEM19","hurdle",0.195623255296275,4.861373,5.492178,0.630805,0.537
"3819","TCF7","hurdle",0.0514124654480258,3.193696,3.866726,0.67303,0.537
"3775","SYTL5","hurdle",0.00117689093782037,0.7178643,3.2998317,2.5819674,0.537
"3679","SPTLC3","hurdle",0.00551340936767746,1.379175,3.224809,1.845634,0.537
"3614","SMYD5","hurdle",0.102896994469048,3.4748,4.261468,0.786668,0.537
"3580","SLC7A1","hurdle",0.0510542563348117,5.623943,6.488057,0.864114000000001,0.537
"3554","SLC38A7","hurdle",0.159256724708457,4.464173,4.972504,0.508331,0.537
"3543","SLC35E3","hurdle",0.222627818506851,4.131277,4.79632,0.665043,0.537
"3466","SIX5","hurdle",0.0825275533926769,2.396154,3.349255,0.953101,0.537
"3419","SFTA2","hurdle",0.00200429065814258,1.789098,3.202601,1.413503,0.537
"3070","RALGPS2","hurdle",0.106969958728383,3.738885,4.377,0.638115,0.537
"2776","PIM1","hurdle",0.0495749521422472,3.401718,4.367859,0.966141,0.537
"2638","PAN3","hurdle",0.238380502400459,4.778313,5.575917,0.797604,0.537
"1882","IRF5","hurdle",0.0278658902762425,2.276653,3.520338,1.243685,0.537
"1836","IL1RAP","hurdle",0.136766585890033,3.55243,4.346406,0.793976,0.537
"1406","FIGN","hurdle",0.0070829576144357,2.260774,2.89926,0.638486,0.537
"787","CLPB","hurdle",0.128203844816576,3.773624,4.609812,0.836188,0.537
"602","CCDC51","hurdle",0.102645775718873,4.070716,4.617598,0.546882,0.537
"586","CCBL2","hurdle",0.259838880481359,5.303882,5.826934,0.523052,0.537
"359","BANP","hurdle",0.100280178580653,3.436404,4.517461,1.081057,0.537
"304","ATG4A","hurdle",0.253561802243664,4.636742,5.364095,0.727353,0.537
"4414","ZNF219","hurdle",0.0830408553107243,2.739609,3.915034,1.175425,0.536
"4387","ZFP64","hurdle",0.139880088990477,3.71132,4.264588,0.553268,0.536
"4326","XKR8","hurdle",0.146221428784058,3.320268,4.304962,0.984694,0.536
"4309","WDR91","hurdle",0.0699980233100467,3.592269,4.226261,0.633992,0.536
"4237","UVSSA","hurdle",0.129496878158767,3.124813,3.968335,0.843522,0.536
"3672","SPSB2","hurdle",0.159699749579169,4.276697,4.862015,0.585318,0.536
"3606","SMIM8","hurdle",0.197698398980545,4.143865,4.698036,0.554171,0.536
"3511","SLC25A51","hurdle",0.185247056313142,3.558336,4.086828,0.528492,0.536
"3300","RPS6KA4","hurdle",0.0220071798589252,2.464408,3.215909,0.751501,0.536
"2823","PM20D1","hurdle",8.94751131268066e-05,0.3944179,3.3624641,2.9680462,0.536
"2812","PLEKHM1","hurdle",0.17068812664973,3.701378,4.600004,0.898626,0.536
"2641","PANX2","hurdle",0.00781714842392178,0.8242548,3.0180927,2.1938379,0.536
"2495","NLRC5","hurdle",0.056240870332965,3.204681,4.143768,0.939087,0.536
"2262","MIS18A","hurdle",0.0479483324064333,3.159815,3.794508,0.634693,0.536
"2208","MED22","hurdle",0.101107025125342,3.647947,4.311086,0.663139000000001,0.536
"2001","KRT80","hurdle",0.0981268346537546,4.338523,5.010394,0.671870999999999,0.536
"1986","KLHL23","hurdle",0.0616478505851518,2.769497,3.625314,0.855817,0.536
"1940","KCTD15","hurdle",0.0183805785665616,2.314389,3.336006,1.021617,0.536
"1271","EXD3","hurdle",0.122986128420714,3.517265,4.627876,1.110611,0.536
"987","DDX20","hurdle",0.184616151194958,3.927902,4.921118,0.993216,0.536
"948","CYP51A1","hurdle",0.0868015249445175,6.601349,7.251675,0.650326,0.536
"834","COPS7B","hurdle",0.272935743435816,4.514284,5.057675,0.543391,0.536
"756","CIB2","hurdle",0.0247074380269457,2.151424,3.279898,1.128474,0.536
"675","CDK7","hurdle",0.15488473744524,3.939808,4.781935,0.842127,0.536
"625","CCNI2","hurdle",0.00332365489543798,-0.8334438,2.1367875,2.9702313,0.536
"504","C6orf141","hurdle",0.0330300972421839,3.372578,4.083858,0.71128,0.536
"429","BTN3A3","hurdle",0.053094914318392,2.587802,3.696738,1.108936,0.536
"292","ASTN2","hurdle",0.0036666692811564,2.41107,3.362193,0.951123,0.536
"152","ALG10B","hurdle",0.111114258839017,2.763103,3.787587,1.024484,0.536
"80","ADAT3","hurdle",0.0364683825266869,1.92059,3.24271,1.32212,0.536
"4505","ZSCAN2","hurdle",0.164079627238306,3.686317,4.292637,0.60632,0.535
"4499","ZNF93","hurdle",0.0624475151182497,2.550108,3.703121,1.153013,0.535
"4305","WDR72","hurdle",0.00514935959010257,0.9633112,2.4410206,1.4777094,0.535
"4244","VARS","hurdle",0.428470890300669,5.342741,5.987341,0.6446,0.535
"4227","USP28","hurdle",0.171109380454729,3.531003,4.210689,0.679686,0.535
"4178","UBE2T","hurdle",0.041949553898158,2.896338,3.800625,0.904287,0.535
"4122","TSR1","hurdle",0.357702581204901,4.372129,4.888294,0.516165,0.535
"3599","SMAD6","hurdle",0.00478233640352136,0.4038289,1.6501654,1.2463365,0.535
"3593","SLITRK4","hurdle",0.000140624868873677,-2.457224,2.886402,5.343626,0.535
"3519","SLC29A2","hurdle",0.0362352551711308,3.642871,4.864888,1.222017,0.535
"3407","SERPINF2","hurdle",3.07476639619396e-07,-3.321928,3.038329,6.360257,0.535
"3216","RPAP1","hurdle",0.168415694525127,4.360457,5.100072,0.739615,0.535
"3167","RIMS3","hurdle",0.000552657916066731,-0.2773244,2.0362765,2.3136009,0.535
"3017","PUS1","hurdle",0.107667981347603,3.15539,4.00307,0.84768,0.535
"2889","PPP1R1C","hurdle",0.00480900604159041,1.011208,2.996629,1.985421,0.535
"2729","PFKFB4","hurdle",0.0620182568607765,3.495778,4.608635,1.112857,0.535
"2647","PARD3B","hurdle",0.120308505117003,3.451827,4.018843,0.567016,0.535
"2466","NFE2L3","hurdle",0.0436256283754109,2.055996,3.362438,1.306442,0.535
"2351","MTA2","hurdle",0.126534407094619,4.071559,4.689422,0.617863000000001,0.535
"2254","MIER2","hurdle",0.145851794262967,3.36419,4.134259,0.770069,0.535
"2191","MCM4","hurdle",0.0113544610783981,3.330462,4.583333,1.252871,0.535
"1871","IPMK","hurdle",0.126453898768232,3.150159,4.048442,0.898283,0.535
"1756","HS6ST2","hurdle",0.00323150439482966,0.9019127,3.2658383,2.3639256,0.535
"1627","GSTCD","hurdle",0.0686586931215048,3.162158,3.67277,0.510612,0.535
"1433","FOXP1","hurdle",0.639016536317524,6.86864,7.444851,0.576211,0.535
"1329","FAM206A","hurdle",0.04540420397414,3.618143,5.441689,1.823546,0.535
"1247","ERI2","hurdle",0.163918081263771,3.187985,3.964341,0.776356,0.535
"1119","EARS2","hurdle",0.172498616724347,3.97458,4.842632,0.868052,0.535
"1023","DHX16","hurdle",0.158181458322682,4.646756,5.327283,0.680527000000001,0.535
"855","CPNE2","hurdle",0.00802032665057487,2.717453,3.303533,0.58608,0.535
"752","CHTF8","hurdle",0.132030301601075,5.377953,6.027175,0.649222,0.535
"716","CES1","hurdle",0.014922114870391,2.542144,4.733966,2.191822,0.535
"635","CCT6B","hurdle",0.0154516136120993,2.131577,3.732048,1.600471,0.535
"590","CCDC126","hurdle",0.199245352660483,3.607634,4.219141,0.611507,0.535
"537","CAMK1","hurdle",0.162103731362476,3.782566,4.538928,0.756362,0.535
"426","BTN2A2","hurdle",0.017670367187212,1.852436,2.988383,1.135947,0.535
"256","ARHGEF37","hurdle",0.0603204942317469,3.047569,4.181458,1.133889,0.535
"229","APOM","hurdle",0.00144273456677478,1.49742,2.423536,0.926116,0.535
"165","ALPK3","hurdle",0.196257170293493,5.747452,6.273329,0.525877,0.535
"37","ACE2","hurdle",8.94533420811062e-05,-0.3402015,3.8709717,4.2111732,0.535
"4468","ZNF668","hurdle",0.0236063725637869,3.245256,3.943464,0.698208,0.534
"4442","ZNF467","hurdle",0.225440291394376,4.158909,4.673278,0.514368999999999,0.534
"3344","SATB2","hurdle",0.00311038578928747,1.420972,2.588168,1.167196,0.534
"3336","SAMD9L","hurdle",0.0594929625778939,2.959552,4.244087,1.284535,0.534
"2694","PDCL","hurdle",0.305123607582017,4.417105,4.92254,0.505434999999999,0.534
"2690","PDCD2L","hurdle",0.109631746350215,3.678499,4.199268,0.520769,0.534
"2687","PCTP","hurdle",0.1781047151642,3.656804,4.215584,0.55878,0.534
"2612","OTX1","hurdle",1.76557373122942e-05,-2.472994,1.502669,3.975663,0.534
"2250","MICALL2","hurdle",0.18114534043475,3.38797,4.036686,0.648716,0.534
"2051","LIMD1","hurdle",0.132971835766217,2.589953,3.273684,0.683731,0.534
"1681","HECA","hurdle",0.17269720137554,3.603095,4.39478,0.791685,0.534
"1535","GIF","hurdle",1.97580347212861e-05,-1.610453,3.725976,5.336429,0.534
"1453","FUOM","hurdle",0.139633642520719,3.516884,4.136468,0.619584,0.534
"1395","FECH","hurdle",0.282765231393965,4.070199,4.672222,0.602023,0.534
"1312","FAM150A","hurdle",9.2522006238022e-06,-1.462195,2.196308,3.658503,0.534
"1216","ENTPD7","hurdle",0.11225813200312,2.744913,3.55411,0.809197,0.534
"827","COMMD10","hurdle",0.442635368349607,5.452015,5.958126,0.506111,0.534
"670","CDHR5","hurdle",0.000735045736832007,2.803824,3.361974,0.55815,0.534
"667","CDH3","hurdle",0.0209332567594452,2.710182,3.440223,0.730041,0.534
"611","CCDC88C","hurdle",0.00613078132448045,2.061927,2.955664,0.893737,0.534
