"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.gamma","log2fold_change","Auc"
"3352","RTKN2","hurdle",0.07928781941355,1.219896,2.320569,1.100673,0.523
"3299","RNF214","hurdle",0.154745352415563,4.068124,4.929851,0.861727,0.523
"3253","RGS1","hurdle",0.000673958919621601,-1.160047,4.427082,5.587129,0.523
"3229","REEP4","hurdle",0.121943452229956,5.47672,6.094202,0.617482,0.523
"2993","PPP1R15B","hurdle",0.247160127527076,5.071798,5.616102,0.544303999999999,0.523
"2743","PCDHB6","hurdle",0.0365253754773796,0.327892,3.125411,2.797519,0.523
"2737","PCDHB10","hurdle",0.167222304423385,2.389858,3.212968,0.82311,0.523
"2708","PARP10","hurdle",0.438584053786663,3.939965,4.488275,0.54831,0.523
"2699","PAPD7","hurdle",0.0125265905639545,3.064331,4.422,1.357669,0.523
"2412","MT3","hurdle",0.00424860507587381,-1.762977,1.698991,3.461968,0.523
"2366","MLYCD","hurdle",0.0543224601631865,4.949046,5.756019,0.806973,0.523
"2240","MAPK8IP3","hurdle",0.199831175184836,3.841842,4.812516,0.970673999999999,0.523
"2044","KLHL18","hurdle",0.517941117294134,4.311811,4.868313,0.556502,0.523
"1909","KANK3","hurdle",0.0452249471454891,-0.7289132,1.0488646,1.7777778,0.523
"1867","IQUB","hurdle",0.0472182022978432,0.4896455,2.592703,2.1030575,0.523
"1864","IQCH","hurdle",0.0871539848308729,0.4629591,1.9248335,1.4618744,0.523
"1580","GLMN","hurdle",0.36627237772234,3.191667,3.794555,0.602888,0.523
"1436","FGF17","hurdle",0.00510579336702128,-1.372316,2.155268,3.527584,0.523
"1408","FBXO30","hurdle",0.384471532333459,3.867402,4.713765,0.846363000000001,0.523
"1311","FAM135B","hurdle",0.0758776235804802,1.278014,2.428791,1.150777,0.523
"1289","F11","hurdle",0.326997621221032,3.688106,4.617152,0.929046,0.523
"1159","DUSP7","hurdle",0.168849228648066,1.664653,3.169227,1.504574,0.523
"1017","DDX26B","hurdle",0.184835775167009,1.938946,3.190333,1.251387,0.523
"1004","DCTN5","hurdle",0.452065812461169,5.627345,6.160593,0.533248,0.523
"854","CNTNAP3","hurdle",0.00039871331702714,-1.1323076,0.5418742,1.6741818,0.523
"776","CHD1L","hurdle",0.465301685215937,4.619967,5.245548,0.625581,0.523
"681","CCNYL1","hurdle",0.466084936678025,3.59269,4.384478,0.791787999999999,0.523
"610","CARD14","hurdle",0.0789333324485612,-0.3858455,1.8145763,2.2004218,0.523
"559","C9orf9","hurdle",0.382832049732055,3.346657,3.976384,0.629727,0.523
"500","C19orf47","hurdle",0.128007302428632,2.347763,3.622658,1.274895,0.523
"353","ATXN7L2","hurdle",0.192279276417898,2.441438,3.647592,1.206154,0.523
"330","ATP5L2","hurdle",0.0712656719847278,1.200683,2.693708,1.493025,0.523
"17","ABCB6","hurdle",0.469643013567323,4.01006,4.657406,0.647346,0.523
"4617","ZNF607","hurdle",0.329128462638946,2.532768,3.662789,1.130021,0.522
"4534","ZNF354B","hurdle",0.105934044363536,2.25161,3.431391,1.179781,0.522
"3931","THRB","hurdle",0.30762489810063,3.928601,4.660497,0.731896,0.522
"3486","SH3BP5L","hurdle",0.336039018676753,3.085722,3.789659,0.703937,0.522
"3298","RNF212","hurdle",0.0862839738082438,2.132991,2.808146,0.675155,0.522
"3079","PTBP2","hurdle",0.552619849462602,3.685985,4.260513,0.574528,0.522
"3077","PSPC1","hurdle",0.497657333281936,4.893532,5.59097,0.697438,0.522
"3052","PRPH2","hurdle",0.192824618912149,1.771171,2.789488,1.018317,0.522
"3023","PREX2","hurdle",0.0143354065706209,-0.8051358,1.7345169,2.5396527,0.522
"2842","PHKA1","hurdle",0.11658736761787,2.794517,3.978575,1.184058,0.522
"2796","PDZD2","hurdle",0.34137707800924,2.9448,3.473821,0.529021,0.522
"2749","PCDHGA6","hurdle",0.0520118227485469,0.7382622,2.9347834,2.1965212,0.522
"2734","PCDHA9","hurdle",0.102862881366342,1.043953,2.062248,1.018295,0.522
"2703","PAQR6","hurdle",0.0673479272432159,0.6279565,2.5239883,1.8960318,0.522
"2567","NME9","hurdle",0.0220935699121129,-0.8296988,1.7798924,2.6095912,0.522
"2561","NLGN2","hurdle",0.247929074694608,3.336869,4.014642,0.677773,0.522
"2522","NEK3","hurdle",0.307121764590576,2.832796,3.718804,0.886008,0.522
"2405","MSANTD2","hurdle",0.211088344880025,1.923669,2.876865,0.953196,0.522
"2158","LRRC45","hurdle",0.342640231283742,2.561173,3.374569,0.813396,0.522
"2054","KLHL35","hurdle",0.162722625770681,1.85185,2.635033,0.783183,0.522
"2034","KLF8","hurdle",0.059691747779728,1.695802,3.829308,2.133506,0.522
"2001","KIAA1551","hurdle",0.686713530946647,4.761823,5.309254,0.547431,0.522
"1487","FOXO4","hurdle",0.0929011387706639,0.7340438,2.0536202,1.3195764,0.522
"1112","DNAL1","hurdle",0.40073965721415,4.205972,5.205613,0.999641,0.522
"1035","DEPDC5","hurdle",0.276387577489995,3.15222,4.18566,1.03344,0.522
"959","CXorf40A","hurdle",0.455628294777016,2.874929,3.700716,0.825787,0.522
"925","CSNK2A2","hurdle",0.373530937752187,3.495457,4.114458,0.619001,0.522
"921","CSK","hurdle",0.506823629038185,3.75136,4.290691,0.539331,0.522
"509","C1orf204","hurdle",0.103218621003541,1.068099,2.28023,1.212131,0.522
"362","B3GAT1","hurdle",0.0648697879208632,0.9358404,2.1121563,1.1763159,0.522
"89","AFF3","hurdle",0.0282567821110943,0.3839447,3.2394938,2.8555491,0.522
"53","ACSM1","hurdle",0.179434975925451,1.913516,2.840189,0.926673,0.522
"4673","ZNF790","hurdle",0.291671274456076,2.627514,3.710627,1.083113,0.521
"4637","ZNF662","hurdle",0.578193513211356,3.600465,4.212741,0.612276,0.521
"4599","ZNF550","hurdle",0.0997510226378739,2.16322,3.5599,1.39668,0.521
"4585","ZNF517","hurdle",0.00854536920831542,-1.301569,2.039979,3.341548,0.521
"4470","ZNF107","hurdle",0.255592678889409,3.107122,4.742747,1.635625,0.521
"4370","YOD1","hurdle",0.289637344627037,2.658308,3.36614,0.707832,0.521
"4344","WRAP53","hurdle",0.429041443224714,3.359045,3.892574,0.533529,0.521
"4001","TMEM79","hurdle",0.261942802192498,0.4637427,1.2274337,0.763691,0.521
"3845","TAF4","hurdle",0.310479796718783,2.358812,2.948527,0.589715,0.521
"3827","SYT15","hurdle",0.0900524835034467,0.4336961,2.0793272,1.6456311,0.521
"3572","SLC45A1","hurdle",0.0635196127927692,2.663396,3.300019,0.636623,0.521
"3478","SGK494","hurdle",0.287195652248955,2.054855,2.6513,0.596445,0.521
"3465","SETDB2","hurdle",0.370662356385514,3.261698,4.044969,0.783271,0.521
"3266","RIIAD1","hurdle",0.498988413455862,3.345724,4.196981,0.851257,0.521
"3222","RDH12","hurdle",0.0854931361619799,0.8413306,2.8227187,1.9813881,0.521
"2770","PCYT1B","hurdle",0.0547546647808179,0.5518595,2.7100434,2.1581839,0.521
"2663","OSBPL11","hurdle",0.51709266857925,3.179465,3.732999,0.553534,0.521
"2570","NOD1","hurdle",0.184023172694839,1.3482,2.318492,0.970292,0.521
"2431","MXD4","hurdle",0.222403449887208,5.364048,6.022284,0.658236,0.521
"2394","MPZ","hurdle",0.0265391652585871,-0.4452396,2.0295664,2.474806,0.521
"2371","MMS19","hurdle",0.672724770544873,4.86242,5.388009,0.525589,0.521
"2356","MLH3","hurdle",0.36883569908644,4.719506,5.497788,0.778282,0.521
"2341","MICAL1","hurdle",0.634238128523089,4.351756,4.956764,0.605008,0.521
"2281","MC1R","hurdle",0.159896179779608,1.407663,2.615076,1.207413,0.521
"2263","MASTL","hurdle",0.24364178743067,3.077715,3.757858,0.680143,0.521
"2065","KRBA1","hurdle",0.189119612015438,2.353374,3.706936,1.353562,0.521
"2033","KLF15","hurdle",0.10317708400517,-0.1639681,1.320215,1.4841831,0.521
"1905","JRKL","hurdle",0.497616945117562,3.406276,4.343024,0.936748,0.521
"1903","JPH4","hurdle",0.128937117662537,1.513204,3.040865,1.527661,0.521
"1849","INPP5K","hurdle",0.649283931570489,4.797594,5.390043,0.592449,0.521
"1727","HEXIM2","hurdle",0.315137047064101,2.307362,3.591657,1.284295,0.521
"1700","HAUS7","hurdle",0.385393245395951,2.873944,3.638089,0.764145,0.521
"1692","H2AFX","hurdle",0.100458845014204,3.783594,4.430758,0.647164,0.521
"1028","DENND3","hurdle",0.277065681932911,1.94068,2.838077,0.897397,0.521
"947","CUBN","hurdle",0.0523555983880488,0.4783155,2.3213803,1.8430648,0.521
"801","CHST14","hurdle",0.321783125822461,3.326025,4.017226,0.691201,0.521
"638","CCDC106","hurdle",0.558579592451003,3.946249,4.528579,0.58233,0.521
"532","C2orf73","hurdle",0.0175565890425962,-0.08691295,1.72091508,1.80782803,0.521
"518","C20orf196","hurdle",0.353809095600837,2.547888,3.822202,1.274314,0.521
"481","C14orf93","hurdle",0.185459908501163,3.416551,4.21959,0.803039,0.521
"292","ASGR1","hurdle",0.0775168272897573,1.830654,2.86117,1.030516,0.521
"9","ABCA10","hurdle",0.17148957325925,1.835228,2.628308,0.79308,0.521
"4652","ZNF71","hurdle",0.421017689678799,3.480727,4.104379,0.623652,0.52
"4640","ZNF667","hurdle",0.164685699550721,3.043816,4.331453,1.287637,0.52
"4550","ZNF430","hurdle",0.0699768271359313,3.910599,4.737885,0.827286,0.52
"4282","VEGFC","hurdle",0.0370584159154129,0.9077099,1.6829817,0.7752718,0.52
"4256","USP40","hurdle",0.593873194643953,4.632578,5.227843,0.595265,0.52
"4140","TTC25","hurdle",0.0394240259696331,1.79642,3.577051,1.780631,0.52
"4138","TTC21A","hurdle",0.318641646181263,2.237302,3.454246,1.216944,0.52
"4041","TOPBP1","hurdle",0.16514266084885,3.873819,4.429978,0.556159,0.52
"4014","TNFAIP8L1","hurdle",0.336003028166179,2.388153,2.994529,0.606376,0.52
"3989","TMEM38A","hurdle",0.401757245049926,2.926475,3.714488,0.788013,0.52
"3876","TBL1Y","hurdle",0.103744176570731,0.4162816,2.1713147,1.7550331,0.52
"3719","SPTBN2","hurdle",0.268604826360002,2.972104,3.701486,0.729382,0.52
"3597","SLC9C1","hurdle",0.0832718517481922,1.098754,4.029514,2.93076,0.52
"3514","SLC11A1","hurdle",0.152312638803441,1.693979,3.295482,1.601503,0.52
"3480","SGOL2","hurdle",0.167139974674745,2.579702,3.247322,0.66762,0.52
"3445","SEPSECS","hurdle",0.355696059469055,3.296237,4.081094,0.784857,0.52
"3335","RPUSD1","hurdle",0.355677384166451,4.20764,4.875922,0.668282,0.52
"3055","PRR11","hurdle",0.0961541033918911,0.6112142,1.9558156,1.3446014,0.52
"2834","PHF13","hurdle",0.518903289592282,3.351421,4.376303,1.024882,0.52
"2775","PDE10A","hurdle",0.29956878716792,3.045691,3.733646,0.687955,0.52
"2748","PCDHGA3","hurdle",0.0432825010999695,-0.2957494,2.0891422,2.3848916,0.52
"2735","PCDHAC1","hurdle",0.101058535293082,0.4919711,2.5770948,2.0851237,0.52
"2537","NFKBIB","hurdle",0.348195023332679,3.900458,4.554288,0.65383,0.52
"2203","MAK","hurdle",0.069784448927516,-0.09789988,2.02972296,2.12762284,0.52
"2083","LAT","hurdle",0.170252743059468,2.279218,3.26658,0.987362,0.52
"1950","KCNRG","hurdle",0.0265961669677442,-0.3571996,2.2306506,2.5878502,0.52
"1601","GNB3","hurdle",0.236790865119963,1.554511,2.312444,0.757933,0.52
"1477","FOXE1","hurdle",0.000149687876548332,-3.321928,1.518964,4.840892,0.52
"1201","EGR4","hurdle",0.318699017578935,3.340896,4.107456,0.76656,0.52
"1037","DET1","hurdle",0.305590995909417,2.520785,3.377956,0.857171,0.52
"760","CEP68","hurdle",0.091401635520929,4.575794,5.523595,0.947801,0.52
"728","CDKL1","hurdle",0.190364331218576,0.7139407,2.0028498,1.2889091,0.52
"539","C3orf58","hurdle",0.629597669223354,3.741533,4.247512,0.505979,0.52
"439","BRF1","hurdle",0.184534035574442,3.628689,4.318653,0.689964,0.52
"134","ALDH3B1","hurdle",0.400386415118828,2.767316,3.373008,0.605692,0.52
"115","AJAP1","hurdle",0.114798327419614,0.5963096,2.4257725,1.8294629,0.52
"43","ACCS","hurdle",0.227119066777695,2.899237,3.851056,0.951819,0.52
"4663","ZNF766","hurdle",0.523930437205035,4.520625,5.022459,0.501834,0.519
"4574","ZNF497","hurdle",0.310262639437068,1.025637,2.050065,1.024428,0.519
"4544","ZNF414","hurdle",0.337301177450099,3.846552,4.535643,0.689091,0.519
"4524","ZNF335","hurdle",0.619576376794554,3.816223,4.586646,0.770423,0.519
"4435","ZFP2","hurdle",0.00901005288111843,0.5047389,3.5971537,3.0924148,0.519
"4268","USPL1","hurdle",0.271375188562907,3.892583,4.778229,0.885645999999999,0.519
"4173","TXNRD2","hurdle",0.69833961231645,4.489072,4.998135,0.509063,0.519
"4117","TSNAXIP1","hurdle",0.192275578291164,1.50399,2.59615,1.09216,0.519
"3754","STAC","hurdle",0.00306521466143111,-2.170989,2.752845,4.923834,0.519
"3641","SNAPC4","hurdle",0.377610807420556,2.166407,3.302698,1.136291,0.519
"3606","SLX4","hurdle",0.127072643406005,2.174433,3.139674,0.965241,0.519
"3364","RWDD2B","hurdle",0.332179061095123,4.695973,5.355552,0.659579,0.519
"3321","RPA4","hurdle",0.0527048297693673,-0.9086286,0.840277,1.7489056,0.519
"3183","RASL10A","hurdle",0.0045716503195517,-2.267768,1.447356,3.715124,0.519
"2959","POLR3F","hurdle",0.38101983850976,3.472644,4.146089,0.673445,0.519
"2951","POLE","hurdle",0.108403727111639,1.070237,2.760872,1.690635,0.519
"2713","PASK","hurdle",0.319668170161895,1.820671,2.601346,0.780675,0.519
"2602","NRF1","hurdle",0.212028694243976,2.290267,3.804222,1.513955,0.519
"2600","NRBP2","hurdle",0.464197455646753,3.15472,3.675802,0.521082,0.519
"2579","NPAS4","hurdle",0.0728699882176214,2.498143,3.132672,0.634529,0.519
"2387","MPHOSPH9","hurdle",0.0725303304608732,3.641213,4.492068,0.850855,0.519
"2220","MAP3K14","hurdle",0.380723981174222,3.050261,3.775831,0.72557,0.519
"2130","LOH12CR2","hurdle",0.409426430432607,2.65681,3.452,0.79519,0.519
"2043","KLHL17","hurdle",0.350297842897139,2.195945,3.145191,0.949246,0.519
"1689","GYPE","hurdle",0.00445852198153858,-1.816399,3.151875,4.968274,0.519
"902","CRHBP","hurdle",0.0320818727737163,0.1324749,2.5903309,2.457856,0.519
"683","CCR6","hurdle",0.0138439439035997,-0.0020532,2.9714982,2.9735514,0.519
"651","CCDC173","hurdle",0.0490472407421835,-0.7264546,1.3572546,2.0837092,0.519
"149","AMIGO3","hurdle",0.0608032757535851,0.5150114,2.9026098,2.3875984,0.519
"143","ALS2CR11","hurdle",0.0544249064000649,0.3360388,1.3309931,0.9949543,0.519
"137","ALG10B","hurdle",0.507321971508888,2.874559,3.397532,0.522973,0.519
"4702","ZSCAN22","hurdle",0.0580646549225208,1.916028,4.532835,2.616807,0.518
"4686","ZNF841","hurdle",0.0114321995376641,2.241481,4.74666,2.505179,0.518
"4628","ZNF625-ZNF20","hurdle",0.0748308704156595,-1.4296675,0.3513327,1.7810002,0.518
"4624","ZNF616","hurdle",0.482009863370417,3.22112,4.598916,1.377796,0.518
"4596","ZNF547","hurdle",0.216242878942716,1.432849,4.092541,2.659692,0.518
"4546","ZNF418","hurdle",0.0516512906469228,1.213261,3.583545,2.370284,0.518
"4501","ZNF248","hurdle",0.0655003415378634,4.083493,4.861324,0.777831,0.518
"4457","ZKSCAN5","hurdle",0.0106134508684954,2.82217,4.156494,1.334324,0.518
"4215","UHRF1BP1","hurdle",0.608139906612376,4.243045,5.13798,0.894934999999999,0.518
"4161","TUBD1","hurdle",0.508872079027534,3.255547,3.777393,0.521846,0.518
"4083","TRIM3","hurdle",0.14870756930268,3.399023,4.151426,0.752403,0.518
"3969","TMEM154","hurdle",0.219624247135726,2.386148,3.537054,1.150906,0.518
"3851","TANGO6","hurdle",0.442451020607583,2.691546,3.637052,0.945506,0.518
"3744","SSPO","hurdle",0.0516840095358485,-0.8401524,1.852771,2.6929234,0.518
"3260","RGS7BP","hurdle",0.183466225967789,1.438036,2.502821,1.064785,0.518
"3239","RFFL","hurdle",0.345834732686386,2.571825,3.259584,0.687759,0.518
"3104","PUS1","hurdle",0.374573287604144,3.191088,3.877233,0.686145,0.518
"3089","PTK6","hurdle",0.0831852360487279,0.5440742,2.6702627,2.1261885,0.518
"2913","PLEKHG4B","hurdle",0.077742784672076,0.2605763,2.3002606,2.0396843,0.518
"2813","PEX5L","hurdle",0.0822139931962084,0.6507292,2.0561628,1.4054336,0.518
"2808","PEX1","hurdle",0.480115315003518,4.433641,5.11487,0.681229,0.518
"2800","PECR","hurdle",0.465178281061329,3.93717,4.657641,0.720471,0.518
"2642","NYAP1","hurdle",0.127958092525801,0.04114854,1.80195212,1.76080358,0.518
"2484","NAV3","hurdle",0.194407375552823,1.997925,3.257771,1.259846,0.518
"2334","MGARP","hurdle",0.0714132454298553,0.1638541,2.6663635,2.5025094,0.518
"2325","METTL20","hurdle",0.277926262749314,2.316705,3.364544,1.047839,0.518
"2183","LYG1","hurdle",0.100838949053701,-0.263666,1.714913,1.978579,0.518
"2139","LRFN1","hurdle",0.0242113810509348,0.288337,2.654679,2.366342,0.518
"2128","LNP1","hurdle",0.282917726942172,2.071847,2.92008,0.848233,0.518
"2076","LAIR1","hurdle",0.26936020724251,1.891897,3.006895,1.114998,0.518
"1999","KIAA1524","hurdle",0.278949271471336,2.035631,3.103195,1.067564,0.518
"1973","KHDC1","hurdle",0.268334728967442,2.175873,3.221578,1.045705,0.518
"1936","KCNH7","hurdle",0.0592092133608879,0.1833718,2.8058209,2.6224491,0.518
"1685","GTPBP3","hurdle",0.378088565202417,3.448648,4.260171,0.811523,0.518
"1642","GPR75","hurdle",0.137552124320444,0.8353708,2.9811738,2.145803,0.518
"1633","GPR135","hurdle",0.372806889101544,1.820364,2.69968,0.879316,0.518
"1573","GLB1L3","hurdle",0.0298561828077224,-0.321899,1.732389,2.054288,0.518
"1370","FAM65C","hurdle",0.0633393185248361,-0.1956507,2.3660075,2.5616582,0.518
"1308","FAM133A","hurdle",0.0946193838884101,0.3117918,2.2342995,1.9225077,0.518
"981","DACT2","hurdle",0.047437124521259,0.6943764,2.028628,1.3342516,0.518
"849","CNTD2","hurdle",0.0103587953064395,-1.37345,2.909545,4.282995,0.518
"675","CCNF","hurdle",0.0831507709726029,1.351953,3.4431,2.091147,0.518
"647","CCDC153","hurdle",0.384856159676624,2.612931,3.438947,0.826016,0.518
"201","ANXA13","hurdle",0.0142709402950394,-1.74437,2.062985,3.807355,0.518
"195","ANO3","hurdle",0.0670810771620361,0.09852245,2.72535227,2.62682982,0.518
"138","ALK","hurdle",0.0114019046846852,-1.39993,1.05354,2.45347,0.518
"57","ACTR3B","hurdle",0.247412566090027,3.387215,4.213995,0.82678,0.518
"4664","ZNF77","hurdle",0.420546178562667,2.038196,3.374213,1.336017,0.517
"4516","ZNF296","hurdle",0.261498908645198,1.262786,2.096696,0.83391,0.517
"4441","ZFP64","hurdle",0.161513700736317,3.674808,4.404954,0.730146,0.517
"4226","UNG","hurdle",0.433470141595652,4.165661,4.769186,0.603525,0.517
"4107","TRPC6","hurdle",0.0281709272949262,-1.794306234,0.006237684,1.800543918,0.517
"4015","TNFAIP8L3","hurdle",0.0477431638080667,-0.3296316,1.9853726,2.3150042,0.517
"4011","TMSB15B","hurdle",0.171212866774169,1.993611,3.212345,1.218734,0.517
"3938","TIGD2","hurdle",0.414569926125756,2.516792,3.307414,0.790622,0.517
"3848","TAGAP","hurdle",0.149139758811761,-1.874785,-1.239765,0.63502,0.517
"3509","SIRT5","hurdle",0.105953244934241,3.917244,4.871576,0.954332,0.517
"3308","RNF43","hurdle",0.612134466772146,3.52417,4.142356,0.618186000000001,0.517
"3263","RIBC1","hurdle",0.104030731719097,0.6750973,2.7590097,2.0839124,0.517
"3112","PYCRL","hurdle",0.548177005682936,3.332757,3.859255,0.526498,0.517
"2975","PPIAL4G","hurdle",0.0242715373159296,-2.094066,1.712299,3.806365,0.517
"2779","PDE4C","hurdle",0.201199254517681,1.78684,2.935782,1.148942,0.517
"2724","PCDH12","hurdle",0.0109989498756231,-0.5463337,1.166379,1.7127127,0.517
"2680","P2RY14","hurdle",0.00626830338926463,-1.943383,1.503166,3.446549,0.517
"2617","NT5M","hurdle",0.134079699020548,0.1923972,2.191616,1.9992188,0.517
"2606","NRL","hurdle",0.0393731450547924,1.71065,3.370638,1.659988,0.517
"2450","MYPOP","hurdle",0.101815974815568,2.854644,3.589421,0.734777,0.517
"2438","MYH7B","hurdle",0.0067929430902992,-0.716928916,0.005346093,0.722275009,0.517
"2285","MCF2L2","hurdle",0.431329594437584,2.582619,3.107089,0.52447,0.517
"2268","MBD3","hurdle",0.3695283687031,4.494495,5.017529,0.523034,0.517
"2145","LRP1B","hurdle",0.036178052677651,-0.6211277,2.4117695,3.0328972,0.517
"2112","LIMD1","hurdle",0.610817852262558,2.626552,3.128124,0.501572,0.517
"1972","KDM8","hurdle",0.0181653831196858,1.69207,4.049199,2.357129,0.517
"1827","IL5RA","hurdle",0.00448586988035797,-0.08884293,0.86834891,0.95719184,0.517
"1764","HPCAL4","hurdle",0.0271218339784882,-0.01189997,2.89020332,2.90210329,0.517
"1668","GRM8","hurdle",0.0829813409252439,0.7239311,3.0988476,2.3749165,0.517
"1572","GLB1L2","hurdle",0.525932429292294,2.669628,3.425909,0.756281,0.517
"1376","FAM76B","hurdle",0.642903896708401,3.465012,4.034115,0.569103,0.517
"1088","DNA2","hurdle",0.224411158535363,1.32842,2.121558,0.793138,0.517
"1082","DMC1","hurdle",0.150071434279166,0.3506582,1.9768323,1.6261741,0.517
"1053","DHX33","hurdle",0.324337283192436,3.373709,3.912654,0.538945,0.517
"1042","DGKA","hurdle",0.0806315615083464,3.586157,4.718679,1.132522,0.517
"837","CNEP1R1","hurdle",0.0380456738264443,3.841472,4.606036,0.764564,0.517
"733","CDKN2AIP","hurdle",0.260559032545647,4.190499,4.792313,0.601814,0.517
"718","CDK1","hurdle",0.153893273096864,1.083149,2.164085,1.080936,0.517
"574","CACNB1","hurdle",0.261587989151535,0.9614055,2.7924577,1.8310522,0.517
"536","C3orf18","hurdle",0.341647663635069,2.901738,3.991703,1.089965,0.517
"339","ATP6V1G2","hurdle",0.06567030255137,1.487702,2.439297,0.951595,0.517
"287","ASB16","hurdle",0.0996918054720074,0.4570156,2.4333898,1.9763742,0.517
"252","ARHGEF39","hurdle",0.306046587317892,1.422608,2.006535,0.583927,0.517
"244","ARHGAP39","hurdle",0.156758595734289,1.005244,2.223056,1.217812,0.517
"49","ACPP","hurdle",0.0295674906858256,-0.7169896,2.2982958,3.0152854,0.517
"4662","ZNF763","hurdle",0.308085021286432,1.402073,2.294875,0.892802,0.516
"4477","ZNF141","hurdle",0.519852775251227,2.457089,3.005648,0.548559,0.516
"4437","ZFP30","hurdle",0.344953563104005,2.216661,3.204269,0.987608,0.516
"4388","ZBTB33","hurdle",0.322125543778717,4.298082,5.137333,0.839251,0.516
"4254","USP35","hurdle",0.440210272236991,2.488893,3.26598,0.777087,0.516
"4234","URB2","hurdle",0.150355657101239,1.793933,3.392724,1.598791,0.516
"4106","TRPC4","hurdle",0.299459969914995,1.42883,2.088399,0.659569,0.516
"4073","TRIL","hurdle",0.216272045035164,1.056762,2.532395,1.475633,0.516
"3977","TMEM186","hurdle",0.2337062757734,4.26334,5.053217,0.789877,0.516
"3960","TMEM106A","hurdle",0.424410860092046,2.684818,3.376397,0.691579,0.516
"3569","SLC41A1","hurdle",0.631412893348484,4.325745,4.845182,0.519437,0.516
"3510","SIRT6","hurdle",0.73885882309011,4.330582,4.957447,0.626865,0.516
"3347","RSPH9","hurdle",0.252779673842757,1.473335,2.236345,0.76301,0.516
"3145","RAB42","hurdle",0.102231977454959,0.8023224,2.4872506,1.6849282,0.516
"3064","PRRT1","hurdle",0.382430463447123,2.234855,3.019836,0.784981,0.516
"2605","NRIP2","hurdle",0.316568154584593,0.08551774,0.9319984,0.84648066,0.516
"2400","MROH7","hurdle",0.0762961961460167,-0.9042578,0.58389,1.4881478,0.516
"1811","IGSF22","hurdle",0.42424069216179,2.457497,3.448149,0.990652,0.516
"1441","FGL2","hurdle",0.0398553711707953,-0.8087839,1.8196007,2.6283846,0.516
"1366","FAM53B","hurdle",0.229040123115399,3.215226,3.747172,0.531946,0.516
"1297","FAM107A","hurdle",0.354360169691624,2.184546,2.842188,0.657642,0.516
"1156","DUSP18","hurdle",0.401819873981256,3.801281,4.344286,0.543005,0.516
"1102","DNAJB5","hurdle",0.562957458394166,2.928423,3.541273,0.61285,0.516
"983","DAGLB","hurdle",0.599587236885701,3.632366,4.414106,0.78174,0.516
"742","CECR2","hurdle",0.213993945384436,0.5248514,1.7697835,1.2449321,0.516
"646","CCDC152","hurdle",0.339500434800733,2.676688,3.348609,0.671921,0.516
"297","ASPHD2","hurdle",0.5884414975889,2.793245,3.358099,0.564854,0.516
"247","ARHGEF16","hurdle",0.669365492211619,3.724203,4.424426,0.700223,0.516
"224","APOLD1","hurdle",0.310757948884937,1.228087,2.499417,1.27133,0.516
"71","ADAP2","hurdle",0.397310712373351,2.256873,3.025935,0.769062,0.516
"65","ADAM22","hurdle",0.172695221662979,2.364789,3.635352,1.270563,0.516
"4684","ZNF836","hurdle",0.503347551231331,2.548896,3.497599,0.948703,0.515
"4636","ZNF660","hurdle",0.0965188069830837,1.451039,3.26219,1.811151,0.515
"4533","ZNF35","hurdle",0.68245947052398,3.097859,3.633455,0.535596,0.515
"4365","XRCC3","hurdle",0.384175098698808,0.9218711,1.6385586,0.7166875,0.515
"4355","XKR9","hurdle",0.185891890381446,1.774156,3.051471,1.277315,0.515
"4348","WSCD1","hurdle",0.296838709406707,1.888556,2.894277,1.005721,0.515
"4329","WDR73","hurdle",0.309909118268603,4.907415,5.417147,0.509732,0.515
"3547","SLC26A4","hurdle",0.347717442048657,1.860753,2.646603,0.78585,0.515
"3083","PTCH2","hurdle",0.237003677516586,0.8440195,2.0188139,1.1747944,0.515
"3019","PRDM5","hurdle",0.0741994876298232,2.123455,3.383747,1.260292,0.515
"2965","POMT2","hurdle",0.0525413795894356,4.501062,5.511154,1.010092,0.515
"2935","PNMT","hurdle",0.00119817761615866,-3.3219281,0.9221642,4.2440923,0.515
"2871","PIK3R4","hurdle",0.524761729915087,4.266712,4.85039,0.583678,0.515
"2785","PDK1","hurdle",0.530204600400737,3.409313,4.062091,0.652778,0.515
"2604","NRG2","hurdle",0.233032552245959,0.7363769,1.9084897,1.1721128,0.515
"2381","MORC3","hurdle",0.597285061774437,4.266028,4.850543,0.584515,0.515
"2328","MFAP3L","hurdle",0.251478328873972,1.949539,3.213975,1.264436,0.515
"2202","MAGI3","hurdle",0.0786545883821005,4.22897,4.846359,0.617388999999999,0.515
"2113","LIN37","hurdle",0.326423970423776,3.094396,4.220955,1.126559,0.515
"1944","KCNK10","hurdle",0.21599919208628,0.960176,2.649763,1.689587,0.515
"1678","GTDC1","hurdle",0.0966588303937756,2.588008,3.900985,1.312977,0.515
"1550","GDF9","hurdle",0.170262095989038,0.7421655,2.4038094,1.6616439,0.515
"1505","FUK","hurdle",0.514897924708135,3.693138,4.44444,0.751302,0.515
"1414","FBXO43","hurdle",0.00119817761615866,-3.321928,1.903622,5.22555,0.515
"1393","FBXL13","hurdle",0.334569253036765,1.479993,2.607364,1.127371,0.515
"1360","FAM227B","hurdle",0.460871670587636,2.240387,2.870946,0.630559,0.515
"1219","ELL","hurdle",0.399041586341172,3.662222,4.325017,0.662795,0.515
